relationship_name,count,pct
Victim Was Stranger,6240,57.41
Relationship Unknown,2299,21.15
Victim was Otherwise Known,1723,15.85
Victim Was Acquaintance,327,3.01
Victim Was Boyfriend/Girlfriend,86,0.79
MISSING,44,0.4
Victim was Employee,39,0.36
Victim Was Spouse,28,0.26
Victim Was Parent,17,0.16
Victim Was Other Family Member,11,0.1
Victim Was In-law,10,0.09
Victim Was Common-Law Spouse,7,0.06
Victim Was Offender,7,0.06
Victim Was Friend,5,0.05
Victim was Ex-Spouse,5,0.05
Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend),5,0.05
Victim Was Stepsibling,4,0.04
Victim Was Grandparent,3,0.03
Victim Was Neighbor,2,0.02
Victim Was Stepparent,2,0.02
Victim was Employer,2,0.02
Victim Was Sibling,2,0.02
Victim Was Stepchild,1,0.01
Victim Was Child,1,0.01
