location_name,count,pct
Residence/Home,2957,27.2
Highway/Road/Alley/Street/Sidewalk,2702,24.86
Jail/Prison/Penitentiary/Corrections Facility,949,8.73
Parking/Drop Lot/Garage,866,7.97
Drug Store/Doctor's Office/Hospital,427,3.93
School-Elementary/Secondary,363,3.34
Other/Unknown,314,2.89
Government/Public Building,248,2.28
Bar/Nightclub,217,2.0
Hotel/Motel/Etc.,211,1.94
Convenience Store,189,1.74
Air/Bus/Train Terminal,171,1.57
Restaurant,153,1.41
Department/Discount Store,144,1.32
Service/Gas Station,120,1.1
Park/Playground,120,1.1
Grocery/Supermarket,116,1.07
Commercial/Office Building,85,0.78
Specialty Store,67,0.62
Shopping Mall,53,0.49
Field/Woods,49,0.45
Arena/Stadium/Fairgrounds/Coliseum,44,0.4
Shelter-Mission/Homeless,37,0.34
School/College,37,0.34
School-College/University,35,0.32
