weapon_name,count,pct
Personal Weapons,7619,70.09
MISSING,1025,9.43
Other,924,8.5
Motor Vehicle/Vessel,394,3.62
Knife/Cutting Instrument,215,1.98
Blunt Object,172,1.58
Handgun,171,1.57
Unknown,161,1.48
Firearm,96,0.88
Rifle,34,0.31
Asphyxiation,20,0.18
Shotgun,10,0.09
Other Firearm,8,0.07
Drugs/Narcotics/Sleeping Pills,6,0.06
Fire/Incendiary Device,4,0.04
Explosives,4,0.04
Handgun (Automatic),4,0.04
Firearm (Automatic),2,0.02
Rifle (Automatic),1,0.01
