offense_name,count,pct
Simple Assault,7734,71.15
Aggravated Assault,2840,26.13
Intimidation,230,2.12
Kidnapping/Abduction,41,0.38
Criminal Sexual Contact,18,0.17
Murder and Nonnegligent Manslaughter,5,0.05
Rape,1,0.01
Sodomy,1,0.01
