weapon_name,count,pct
Handgun,66672,84.06
Rifle,6580,8.3
Firearm,3599,4.54
Other Firearm,1681,2.12
Personal Weapons,503,0.63
MISSING,113,0.14
Other,108,0.14
Motor Vehicle/Vessel,21,0.03
Blunt Object,17,0.02
Knife/Cutting Instrument,11,0.01
Unknown,9,0.01
Drugs/Narcotics/Sleeping Pills,1,0.0
Asphyxiation,1,0.0
