relationship_name,count,pct
Victim Was Stranger,77314,97.48
Victim Was Acquaintance,1702,2.15
Relationship Unknown,165,0.21
Victim was Otherwise Known,120,0.15
MISSING,9,0.01
Victim Was Parent,2,0.0
Victim was Employee,1,0.0
Victim Was Spouse,1,0.0
Victim Was Sibling,1,0.0
Victim Was Boyfriend/Girlfriend,1,0.0
