,missing_count,missing_pct,dtype
bias_category,25,0.03,str
bias_desc,25,0.03,str
crime_against,25,0.03,str
ct_flag,25,0.03,str
female_civilian,4,0.01,float64
female_officer,4,0.01,float64
hc_code,25,0.03,str
hc_flag,25,0.03,str
injury_name,38747,48.85,str
location_name,25,0.03,str
male_civilian,4,0.01,float64
male_officer,4,0.01,float64
offense_category_name,25,0.03,str
offense_group,25,0.03,str
offense_name,25,0.03,str
relationship_name,9,0.01,str
shr_flag,46,0.06,str
weapon_name,113,0.14,str
