offense_name,count,pct
Aggravated Assault,76163,96.02
Kidnapping/Abduction,2632,3.32
Simple Assault,473,0.6
MISSING,25,0.03
Intimidation,21,0.03
Rape,1,0.0
Criminal Sexual Contact,1,0.0
