weapon_name,shr_flag,bias_desc,relationship_name,location_name,offense_name,crime_against,ct_flag,hc_flag,hc_code,offense_category_name,offense_group,race_desc,sort_order,age_code,age_name,activity_type_name,agency_name,latitude,longitude,reporting_type,ori,ucr_agency_name,pub_agency_name,state_name,population,male_officer,male_civilian,female_officer,female_civilian,officer_rate,employee_rate,incident_date,incident_hour,ethnicity_name,injury_name,data_year,victim_type_id,sex_code,age_range_low_num,age_range_high_num
Firearm,t,None (no bias),Victim Was Stranger,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,Black or African American,20,29,29 Years Old,Responding to Disturbance Call,Memphis Police Department,35.14924,-90.047455,I,TNMPD0000,MEMPHIS,Memphis,Tennessee,624944,1559,204,345,353,3.0,3.9,2022-09-30 00:00:00,19,Not Hispanic or Latino,None,2022,5,F,29,
Firearm,t,None (no bias),Relationship Unknown,Highway/Road/Alley/Street/Sidewalk,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,44,44 Years Old,All Other,Laurel Police Department,31.687548,-89.1341,I,MS0340200,LAUREL,Laurel,Mississippi,17066,40,5,6,15,2.7,3.9,2022-04-29 00:00:00,22,Not Hispanic or Latino,Minor Injury,2022,5,F,44,
Firearm,t,None (no bias),Victim Was Stranger,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,27,27 Years Old,All Other,Kennewick Police Department,46.20264,-119.120224,I,WA0030100,KENNEWICK,Kennewick,Washington,85058,86,2,5,14,1.1,1.3,2022-09-13 00:00:00,18,Not Hispanic or Latino,None,2022,5,F,27,
Firearm,t,None (no bias),Relationship Unknown,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,Black or African American,20,24,24 Years Old,All Other,DeKalb County Police Department,33.77625,-84.24072,I,GA0440200,DEKALB COUNTY POLICE DEP,DeKalb County Police Department,Georgia,516329,483,36,103,181,1.1,1.6,2022-03-29 00:00:00,17,Not Hispanic or Latino,Minor Injury,2022,5,F,24,
Firearm,t,None (no bias),Victim Was Stranger,Parking/Drop Lot/Garage,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,Unknown,98,27,27 Years Old,Responding to Disturbance Call,Reno Police Department,40.703311,-119.710315,I,NV0160100,RENO,Reno,Nevada,273671,309,13,37,61,1.3,1.5,2022-09-04 00:00:00,23,Not Hispanic or Latino,None,2022,5,F,25,30
Firearm,t,None (no bias),Relationship Unknown,Highway/Road/Alley/Street/Sidewalk,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,44,44 Years Old,All Other,Laurel Police Department,31.687548,-89.1341,I,MS0340200,LAUREL,Laurel,Mississippi,17066,40,5,6,15,2.7,3.9,2022-04-29 00:00:00,22,Not Hispanic or Latino,Minor Injury,2022,5,F,44,
Firearm,t,None (no bias),Victim Was Stranger,Highway/Road/Alley/Street/Sidewalk,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,Black or African American,20,46,46 Years Old,Attempting Other Arrests,Memphis Police Department,35.14924,-90.047455,I,TNMPD0000,MEMPHIS,Memphis,Tennessee,624944,1559,204,345,353,3.0,3.9,2022-06-03 00:00:00,15,Not Hispanic or Latino,None,2022,5,F,46,
Firearm,t,None (no bias),Victim Was Stranger,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,37,37 Years Old,Attempting Other Arrests,Stockton Police Department,37.935034,-121.272237,I,CA0390500,STOCKTON,Stockton,California,323501,339,52,40,135,1.2,1.7,2022-11-26 00:00:00,23,Not Hispanic or Latino,None,2022,5,F,37,
Firearm,t,None (no bias),Victim Was Stranger,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,37,37 Years Old,Attempting Other Arrests,Stockton Police Department,37.935034,-121.272237,I,CA0390500,STOCKTON,Stockton,California,323501,339,52,40,135,1.2,1.7,2022-11-26 00:00:00,23,Not Hispanic or Latino,None,2022,5,F,37,
Firearm,t,None (no bias),Relationship Unknown,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,30,30 Years Old,Responding to Disturbance Call,Grand Prairie Police Department,32.766987,-96.778424,I,TX0571200,GRAND PRAIRIE,Grand Prairie,Texas,199663,259,47,27,117,1.4,2.3,2022-07-13 00:00:00,15,Hispanic or Latino,Minor Injury,2022,5,F,30,
