geo_id,geo_name,geo_type,state,county,tribal_area,year,quarter,month,dv_rate,sexual_assault_rate,firearm_share,dating_partner_share,minority_victim_share,native_american_victim_share,reporting_proxy,risk_index,data_quality_flag
state:DC,District of Columbia,state,DC,,,2023,,,862.3530968,79.48586351,0.04804552663,0.1366731971,0.8729123173,0.001217814892,3672.452461,0.7560350943,ok
state:DC,District of Columbia,state,DC,,,2024,,,814.3112474,58.18870465,0.04631234354,0.1411515502,0.864491397,0.0008915039672,3433.794809,0.7254082496,ok
state:FL,Florida,state,FL,,,2021,,,0.7572318818,0.0334072889,0.008733624454,0.1441048035,0.5505226481,0.1428571429,2.55008972,-0.9143872978,ok
state:FL,Florida,state,FL,,,2022,,,137.3179632,12.05554316,0.0716960678,0.1120281857,0.5411004447,0.002659684994,441.2176607,-0.5808921748,ok
state:FL,Florida,state,FL,,,2023,,,213.7527565,17.20316185,0.06565856855,0.1307826267,0.510287888,0.002363044293,619.324505,-0.5531178006,ok
state:FL,Florida,state,FL,,,2024,,,276.4555834,21.3348899,0.06079018922,0.1519061095,0.5147311478,0.002286868499,744.0271907,-0.4761441408,ok
state:GA,Georgia,state,GA,,,2021,,,595.5449726,62.97802556,0.1103563081,0.2233021136,0.6546400833,0.001825606534,1384.09688,0.2877354171,ok
state:GA,Georgia,state,GA,,,2022,,,612.4090158,68.0454462,0.1130519624,0.2020268782,0.6515590793,0.001701082776,1455.407581,0.344602752,ok
state:GA,Georgia,state,GA,,,2023,,,603.9171268,38.99086482,0.1031921142,0.1977967904,0.6598096136,0.00176829448,1425.644511,0.3593968661,ok
state:GA,Georgia,state,GA,,,2024,,,600.9183139,41.88635371,0.09242548962,0.1963439825,0.6615886521,0.001810839166,1428.462212,0.2572815326,ok
state:HI,Hawaii,state,HI,,,2021,,,377.329788,68.17523805,0.02153784219,0.25,0.7535321821,0.001766091052,870.680161,-0.589182678,ok
state:HI,Hawaii,state,HI,,,2022,,,443.180947,93.64210373,0.01726200649,0.2505554606,0.7359522626,0.0008287750704,1024.112054,-0.819039888,ok
state:HI,Hawaii,state,HI,,,2023,,,320.9940948,48.12296044,0.01330757673,0.2418974029,0.7749473684,0.001684210526,812.3364953,-1.063103312,ok
state:HI,Hawaii,state,HI,,,2024,,,374.55917,45.78710442,0.02172270495,0.2459387986,0.7024596182,0.001101321586,911.2666572,-1.046915614,ok
state:ID,Idaho,state,ID,,,2021,,,613.3213224,100.1995071,0.03497229917,0.2351108033,0.1717474424,0.02314766973,1207.411029,-0.304141879,ok
state:ID,Idaho,state,ID,,,2022,,,620.0504358,95.9569504,0.03844904148,0.2220296762,0.1856060606,0.03214840715,1254.915755,-0.3925779558,ok
state:ID,Idaho,state,ID,,,2023,,,583.4648387,67.14317408,0.03326287685,0.2172655468,0.1836795547,0.02643872378,1199.90058,-0.2495718455,ok
state:ID,Idaho,state,ID,,,2024,,,591.4765365,73.08773942,0.03307667281,0.2189567292,0.1749539595,0.02529805176,1201.322719,-0.1523615691,ok
state:IL,Illinois,state,IL,,,2021,,,374.7705282,42.76118432,0.04306160805,0.2225366075,0.5793578317,0.0009680011689,960.767417,-0.250031798,ok
state:IL,Illinois,state,IL,,,2022,,,629.0017949,69.71910097,0.03582192371,0.2192001575,0.592086846,0.0009616309261,1615.142615,-0.05540784897,ok
state:IL,Illinois,state,IL,,,2023,,,756.7481191,61.77008891,0.02891956908,0.2160966426,0.577899279,0.001125673394,1898.372935,0.04302358102,ok
state:IL,Illinois,state,IL,,,2024,,,781.0939026,68.55470089,0.02624067947,0.2138363538,0.5755446006,0.001132502831,1977.637105,0.09739223428,ok
state:IN,Indiana,state,IN,,,2021,,,609.2252563,66.01570294,0.06283853867,0.2706580615,0.3819537009,0.0009520959713,1305.568671,-0.105403867,ok
state:IN,Indiana,state,IN,,,2022,,,630.2853451,67.74373738,0.08246666492,0.2478453357,0.3919264431,0.0009096272987,1423.998726,0.02181664522,ok
state:IN,Indiana,state,IN,,,2023,,,666.003849,45.33750443,0.08968674699,0.2311807229,0.4229078841,0.00105390618,1543.483539,0.08422708831,ok
state:IN,Indiana,state,IN,,,2024,,,646.9089509,49.49391372,0.08432257432,0.2284165604,0.4126509436,0.001019506559,1497.007307,0.1925743437,ok
state:IA,Iowa,state,IA,,,2021,,,638.0283723,70.63074635,0.03376689947,0.3244697892,0.2892582034,0.01376842361,1265.595934,-0.5496322817,ok
state:IA,Iowa,state,IA,,,2022,,,541.637335,65.5238872,0.04243877625,0.301431582,0.2856652949,0.01289437586,1106.348726,-0.6593076029,ok
state:IA,Iowa,state,IA,,,2023,,,597.8651862,53.04741365,0.03332694886,0.287365128,0.3024294391,0.01256401096,1255.108218,-0.6119688897,ok
state:IA,Iowa,state,IA,,,2024,,,564.1719227,42.69109453,0.03322629268,0.2749852546,0.2999395039,0.01373260738,1208.577758,-0.6460523313,ok
state:KS,Kansas,state,KS,,,2021,,,783.0703999,81.21655618,0.0567905241,0.2474444264,0.2756795766,0.004763050277,1650.124074,-0.06256675385,ok
state:KS,Kansas,state,KS,,,2022,,,894.6119454,108.3007322,0.06652750045,0.2416954075,0.2948573724,0.007914825231,1954.557687,0.1941932573,ok
state:KS,Kansas,state,KS,,,2023,,,903.8777301,65.9086727,0.06619934283,0.2272946331,0.3094248094,0.007392007392,2019.282489,0.09906113869,ok
state:KS,Kansas,state,KS,,,2024,,,796.1440205,59.95296964,0.07308713493,0.2204199855,0.3257752584,0.009003001,1807.752207,0.07465941882,ok
state:KY,Kentucky,state,KY,,,2021,,,614.6825158,80.98857472,0.08395585329,0.3173646923,0.3077102695,0.000747209639,1164.540497,0.4672467941,ok
state:KY,Kentucky,state,KY,,,2022,,,519.1864437,78.79660881,0.05528938818,0.2950603007,0.296698038,0.001010262136,1014.080524,0.3302438335,ok
state:KY,Kentucky,state,KY,,,2023,,,556.4958312,63.28754272,0.06343646624,0.2562268924,0.3315681903,0.0008361204013,1145.192542,0.4328027539,ok
state:KY,Kentucky,state,KY,,,2024,,,547.801753,56.5951811,0.06297229219,0.2587192405,0.3373030414,0.0008702821546,1135.423633,0.4021547665,ok
