data_year,weapon_name,shr_flag,bias_desc,relationship_name,location_name,offense_name,crime_against,ct_flag,hc_flag,hc_code,offense_category_name,offense_group,race_desc,sort_order,age_code,age_name,activity_type_name,reporting_type,ucr_agency_name,pub_agency_name,state_name,population,male_officer,male_civilian,female_officer,female_civilian,officer_rate,employee_rate,incident_date,incident_hour,ethnicity_name,injury_name,sex_code,age_range_low_num,age_range_high_num,
2021,Motor Vehicle/Vessel,f,None (no bias),Victim was Otherwise Known,Highway/Road/Alley/Street/Sidewalk,Aggravated Assault,Person,f,t,4,Assault Offenses,A    ,White,10,28,28 Years Old,Responding to Disturbance Call,I,HOLYOKE,Holyoke,Massachusetts,40326,95,10,12,14,2.7,3.2,8/6/21 0:00,17,Hispanic or Latino,Apparent Broken Bones,F,28,,
2021,Motor Vehicle/Vessel,f,None (no bias),Victim was Otherwise Known,Highway/Road/Alley/Street/Sidewalk,Aggravated Assault,Person,f,t,4,Assault Offenses,A    ,White,10,28,28 Years Old,Responding to Disturbance Call,I,HOLYOKE,Holyoke,Massachusetts,40326,95,10,12,14,2.7,3.2,8/6/21 0:00,17,Hispanic or Latino,Apparent Broken Bones,F,28,,
2021,Knife/Cutting Instrument,t,None (no bias),Victim Was Stranger,Air/Bus/Train Terminal,Aggravated Assault,Person,f,t,4,Assault Offenses,A    ,Black or African American,20,30,30 Years Old,Civil Disorder,I,TRANSIT ADMINISTRATION,Transit Administration,Maryland,0,128,20,32,32,0,0,1/11/21 0:00,19,Not Specified,None,F,30,,
2021,Personal Weapons,t,None (no bias),Victim Was Stranger,Field/Woods,Aggravated Assault,Person,f,t,4,Assault Offenses,A    ,Unknown,98,30,30 Years Old,Responding to Disturbance Call,I,KALAMAZOO,Kalamazoo,Michigan,76179,203,6,42,19,3.2,3.5,10/8/21 0:00,12,Not Specified,Other Major Injury,F,30,,
2021,Personal Weapons,t,None (no bias),Victim Was Stranger,Field/Woods,Aggravated Assault,Person,f,t,4,Assault Offenses,A    ,Unknown,98,30,30 Years Old,Responding to Disturbance Call,I,KALAMAZOO,Kalamazoo,Michigan,76179,203,6,42,19,3.2,3.5,10/8/21 0:00,12,Not Specified,Other Major Injury,F,30,,
2021,Personal Weapons,t,None (no bias),Relationship Unknown,Field/Woods,Aggravated Assault,Person,f,t,4,Assault Offenses,A    ,Unknown,98,30,30 Years Old,Responding to Disturbance Call,I,KALAMAZOO,Kalamazoo,Michigan,76179,203,6,42,19,3.2,3.5,10/8/21 0:00,12,Not Specified,Other Major Injury,F,30,,
2021,Personal Weapons,t,None (no bias),Relationship Unknown,Field/Woods,Aggravated Assault,Person,f,t,4,Assault Offenses,A    ,Unknown,98,30,30 Years Old,Responding to Disturbance Call,I,KALAMAZOO,Kalamazoo,Michigan,76179,203,6,42,19,3.2,3.5,10/8/21 0:00,12,Not Specified,Other Major Injury,F,30,,
2021,Personal Weapons,t,None (no bias),Relationship Unknown,Field/Woods,Aggravated Assault,Person,f,t,4,Assault Offenses,A    ,Unknown,98,30,30 Years Old,Responding to Disturbance Call,I,KALAMAZOO,Kalamazoo,Michigan,76179,203,6,42,19,3.2,3.5,10/8/21 0:00,12,Not Specified,Other Major Injury,F,30,,
2021,Personal Weapons,t,None (no bias),Relationship Unknown,Field/Woods,Aggravated Assault,Person,f,t,4,Assault Offenses,A    ,Unknown,98,30,30 Years Old,Responding to Disturbance Call,I,KALAMAZOO,Kalamazoo,Michigan,76179,203,6,42,19,3.2,3.5,10/8/21 0:00,12,Not Specified,Other Major Injury,F,30,,
2021,Personal Weapons,t,None (no bias),Relationship Unknown,Field/Woods,Aggravated Assault,Person,f,t,4,Assault Offenses,A    ,Unknown,98,30,30 Years Old,Responding to Disturbance Call,I,KALAMAZOO,Kalamazoo,Michigan,76179,203,6,42,19,3.2,3.5,10/8/21 0:00,12,Not Specified,Other Major Injury,F,30,,
2021,Blunt Object,t,None (no bias),Victim Was Stranger,Restaurant,Aggravated Assault,Person,f,t,4,Assault Offenses,A    ,Black or African American,20,27,27 Years Old,Responding to Disturbance Call,I,DETROIT,Detroit,Michigan,673708,1854,155,621,470,3.7,4.6,11/13/21 0:00,15,Not Specified,Minor Injury,F,27,,
2021,Blunt Object,t,None (no bias),Victim Was Stranger,Restaurant,Aggravated Assault,Person,f,t,4,Assault Offenses,A    ,Black or African American,20,27,27 Years Old,Responding to Disturbance Call,I,DETROIT,Detroit,Michigan,673708,1854,155,621,470,3.7,4.6,11/13/21 0:00,15,Not Specified,Minor Injury,F,27,,
2021,None,f,None (no bias),Victim Was Stranger,Highway/Road/Alley/Street/Sidewalk,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,26,26 Years Old,Traffic Pursuits and Stops,I,ECORSE,Ecorse,Michigan,9635,15,0,3,0,1.9,1.9,11/15/21 0:00,19,Unknown,Minor Injury,F,26,,
2021,Personal Weapons,t,None (no bias),Relationship Unknown,Highway/Road/Alley/Street/Sidewalk,Aggravated Assault,Person,f,t,4,Assault Offenses,A    ,White,10,25,25 Years Old,Investigating Suspicious Persons or Circumstances,I,FAYETTEVILLE,Fayetteville,North Carolina,212047,274,38,74,135,1.6,2.5,4/6/21 0:00,10,Not Hispanic or Latino,None,F,25,,
2021,Personal Weapons,t,None (no bias),Victim Was Stranger,Air/Bus/Train Terminal,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,38,38 Years Old,Responding to Disturbance Call,I,CHARLOTTE-MECKLENBURG,Charlotte-Mecklenburg,North Carolina,956282,1477,170,257,377,1.8,2.4,4/11/21 0:00,15,Unknown,Minor Injury,F,38,,
2021,,,None (no bias),Victim Was Acquaintance,Commercial/Office Building,Intimidation,Person,f,t,10,Assault Offenses,A    ,White,10,44,44 Years Old,Attempting Other Arrests,I,REDMOND,Redmond,Oregon,35230,43,5,5,9,1.4,1.8,3/6/21 0:00,10,Not Hispanic or Latino,Minor Injury,F,44,,
2021,,,None (no bias),Victim Was Acquaintance,Commercial/Office Building,Intimidation,Person,f,t,10,Assault Offenses,A    ,White,10,44,44 Years Old,Attempting Other Arrests,I,REDMOND,Redmond,Oregon,35230,43,5,5,9,1.4,1.8,3/6/21 0:00,10,Not Hispanic or Latino,Minor Injury,F,44,,
