weapon_name,shr_flag,bias_desc,relationship_name,location_name,offense_name,crime_against,ct_flag,hc_flag,hc_code,offense_category_name,offense_group,race_desc,sort_order,age_code,age_name,activity_type_name,reporting_type,ucr_agency_name,pub_agency_name,state_name,population,male_officer,male_civilian,female_officer,female_civilian,officer_rate,employee_rate,incident_date,incident_hour,ethnicity_name,injury_name,data_year,victim_type_id,sex_code,age_range_low_num,age_range_high_num
Personal Weapons,t,None (no bias),Victim Was Stranger,Drug Store/Doctor's Office/Hospital,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,38,38 Years Old,"Handling, Transporting, Custody of Prisoners",I,DEARBORN,Dearborn,Michigan,107197,162,12,19,29,1.7,2.1,2022-01-02 00:00:00,20,Unknown,None,2022,5,F,38,
Personal Weapons,t,None (no bias),Victim Was Stranger,Other/Unknown,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,35,35 Years Old,Investigating Suspicious Persons or Circumstances,I,SAN DIEGO,San Diego,California,512568,1885,604,458,1030,4.6,7.8,2022-01-05 00:00:00,10,Not Hispanic or Latino,Minor Injury,2022,5,F,35,
Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,22,22 Years Old,Attempting Other Arrests,I,ST. CLOUD,St. Cloud,Minnesota,68925,92,8,19,21,1.6,2.0,2022-01-01 00:00:00,3,Unknown,Minor Injury,2022,5,F,22,
Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,22,22 Years Old,Attempting Other Arrests,I,ST. CLOUD,St. Cloud,Minnesota,68925,92,8,19,21,1.6,2.0,2022-01-01 00:00:00,3,Unknown,Minor Injury,2022,5,F,22,
Other,t,None (no bias),Victim Was Stranger,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,22,22 Years Old,Attempting Other Arrests,I,ST. CLOUD,St. Cloud,Minnesota,68925,92,8,19,21,1.6,2.0,2022-01-01 00:00:00,3,Unknown,Minor Injury,2022,5,F,22,
Other,t,None (no bias),Victim Was Stranger,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,22,22 Years Old,Attempting Other Arrests,I,ST. CLOUD,St. Cloud,Minnesota,68925,92,8,19,21,1.6,2.0,2022-01-01 00:00:00,3,Unknown,Minor Injury,2022,5,F,22,
Personal Weapons,t,None (no bias),Relationship Unknown,Highway/Road/Alley/Street/Sidewalk,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,22,22 Years Old,Responding to Disturbance Call,I,RALEIGH,Raleigh,North Carolina,470829,567,75,70,72,1.4,1.7,2022-01-01 00:00:00,3,Not Specified,None,2022,5,F,22,
Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,28,28 Years Old,Responding to Disturbance Call,I,BOLINGBROOK,Bolingbrook,Illinois,73364,108,7,12,17,1.6,2.0,2022-01-03 00:00:00,1,Not Hispanic or Latino,None,2022,5,F,28,
Personal Weapons,t,None (no bias),Victim was Otherwise Known,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,42,42 Years Old,All Other,I,FORT WAYNE,Fort Wayne,Indiana,267791,424,16,55,53,1.8,2.0,2022-01-05 00:00:00,21,Not Hispanic or Latino,None,2022,5,F,42,
Personal Weapons,t,None (no bias),Victim Was Stranger,Shelter-Mission/Homeless,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,24,24 Years Old,Responding to Disturbance Call,I,OKLAHOMA CITY,Oklahoma City,Oklahoma,692726,961,70,128,216,1.6,2.0,2022-01-04 00:00:00,21,Not Specified,Minor Injury,2022,5,F,24,
Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,24,24 Years Old,Attempting Other Arrests,I,OKLAHOMA CITY,Oklahoma City,Oklahoma,692726,961,70,128,216,1.6,2.0,2022-01-05 00:00:00,22,Not Specified,Minor Injury,2022,5,F,24,
None,f,None (no bias),Victim Was Acquaintance,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,26,26 Years Old,Responding to Disturbance Call,I,ST. ALBANS,St. Albans,Vermont,7022,18,4,1,7,2.7,4.3,2022-01-04 00:00:00,14,Not Specified,None,2022,5,F,26,
Personal Weapons,t,None (no bias),Victim Was Stranger,Convenience Store,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,24,24 Years Old,Responding to Disturbance Call,I,APPLETON,Appleton,Minnesota,1360,2,0,0,0,1.5,1.5,2022-01-23 00:00:00,16,Unknown,Minor Injury,2022,5,F,24,
Personal Weapons,t,None (no bias),Victim was Otherwise Known,Parking/Drop Lot/Garage,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,24,24 Years Old,Traffic Pursuits and Stops,I,CLARINDA,Clarinda,Iowa,5499,8,0,1,1,1.6,1.8,2022-01-29 00:00:00,21,Not Hispanic or Latino,None,2022,5,F,24,
Personal Weapons,t,None (no bias),Relationship Unknown,Jail/Prison/Penitentiary/Corrections Facility,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,33,33 Years Old,"Handling, Transporting, Custody of Prisoners",I,BERRIEN,Berrien,Michigan,49847,58,54,12,36,1.4,3.2,2022-01-29 00:00:00,4,Unknown,None,2022,5,F,33,
Personal Weapons,t,None (no bias),Victim Was Stranger,Drug Store/Doctor's Office/Hospital,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,22,22 Years Old,Responding to Disturbance Call,I,OTTUMWA,Ottumwa,Iowa,25249,34,3,5,7,1.5,1.9,2022-01-01 00:00:00,15,Not Hispanic or Latino,None,2022,5,F,20,24
Personal Weapons,t,None (no bias),Victim Was Stranger,Drug Store/Doctor's Office/Hospital,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,22,22 Years Old,Responding to Disturbance Call,I,OTTUMWA,Ottumwa,Iowa,25249,34,3,5,7,1.5,1.9,2022-01-01 00:00:00,15,Not Hispanic or Latino,None,2022,5,F,20,24
Personal Weapons,t,None (no bias),Victim was Otherwise Known,Highway/Road/Alley/Street/Sidewalk,Simple Assault,Person,f,t,09,Assault Offenses,A    ,Black or African American,20,20,20 Years Old,Attempting Other Arrests,I,RICHMOND HEIGHTS,Richmond Heights,Ohio,10546,17,0,2,3,1.8,2.1,2022-01-15 00:00:00,6,Not Specified,None,2022,5,F,20,
Personal Weapons,t,None (no bias),Relationship Unknown,Highway/Road/Alley/Street/Sidewalk,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,31,31 Years Old,Responding to Disturbance Call,I,NORTH LAS VEGAS,North Las Vegas,Nevada,284422,245,19,37,93,1.0,1.4,2022-01-01 00:00:00,2,Not Hispanic or Latino,None,2022,5,F,31,
Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,31,31 Years Old,Attempting Other Arrests,I,NORTH LAS VEGAS,North Las Vegas,Nevada,284422,245,19,37,93,1.0,1.4,2022-01-09 00:00:00,1,Hispanic or Latino,None,2022,5,F,31,
Other,t,None (no bias),Victim Was Stranger,Service/Gas Station,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,36,36 Years Old,Attempting Other Arrests,I,RAMSEY,Ramsey,Minnesota,78989,186,140,44,72,2.9,5.6,2022-01-30 00:00:00,21,Not Hispanic or Latino,None,2022,5,F,36,
Unknown,f,None (no bias),Victim Was Boyfriend/Girlfriend,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,18,18 Years Old,All Other,I,VERSAILLES,Versailles,Kentucky,27242,35,0,2,1,1.4,1.4,2022-01-10 00:00:00,12,Hispanic or Latino,None,2022,5,F,18,
Personal Weapons,t,None (no bias),Victim Was Boyfriend/Girlfriend,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,56,56 Years Old,Responding to Disturbance Call,I,BULLITT,Bullitt,Kentucky,37433,39,12,1,22,1.1,2.0,2022-01-30 00:00:00,0,Not Hispanic or Latino,Minor Injury,2022,5,F,56,
Handgun,t,None (no bias),Victim Was Boyfriend/Girlfriend,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,36,36 Years Old,Responding to Disturbance Call,I,CORBIN,Corbin,Kentucky,7762,22,1,0,3,2.8,3.3,2022-01-01 00:00:00,11,Not Hispanic or Latino,Minor Injury,2022,5,F,36,
Personal Weapons,t,None (no bias),Victim was Otherwise Known,School-Elementary/Secondary,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,45,45 Years Old,Responding to Disturbance Call,I,WARREN,Warren,Kentucky,63920,52,31,2,26,0.8,1.7,2022-01-05 00:00:00,13,Not Hispanic or Latino,Minor Injury,2022,5,F,45,
Personal Weapons,t,None (no bias),Victim was Otherwise Known,School-Elementary/Secondary,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,41,41 Years Old,Responding to Disturbance Call,I,WARREN,Warren,Kentucky,63920,52,31,2,26,0.8,1.7,2022-01-05 00:00:00,13,Not Hispanic or Latino,Minor Injury,2022,5,F,41,
Personal Weapons,t,None (no bias),Victim was Otherwise Known,School-Elementary/Secondary,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,35,35 Years Old,Responding to Disturbance Call,I,WARREN,Warren,Kentucky,63920,52,31,2,26,0.8,1.7,2022-01-05 00:00:00,13,Not Hispanic or Latino,Minor Injury,2022,5,F,35,
Personal Weapons,t,None (no bias),Victim Was Stranger,Bar/Nightclub,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,25,25 Years Old,All Other,I,BOWLING GREEN,Bowling Green,Kentucky,74427,107,4,18,29,1.7,2.1,2022-01-02 00:00:00,1,Not Hispanic or Latino,None,2022,5,F,25,
Personal Weapons,t,None (no bias),Victim Was Stranger,Bar/Nightclub,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,25,25 Years Old,All Other,I,BOWLING GREEN,Bowling Green,Kentucky,74427,107,4,18,29,1.7,2.1,2022-01-02 00:00:00,1,Not Hispanic or Latino,None,2022,5,F,25,
Rifle,t,None (no bias),Relationship Unknown,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,25,25 Years Old,Responding to Disturbance Call,I,LAWRENCEBURG,Lawrenceburg,Kentucky,11855,14,0,1,7,1.3,1.9,2022-01-07 00:00:00,17,Not Hispanic or Latino,None,2022,5,F,25,
Personal Weapons,t,None (no bias),Relationship Unknown,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,25,25 Years Old,Responding to Disturbance Call,I,LAWRENCEBURG,Lawrenceburg,Kentucky,11855,14,0,1,7,1.3,1.9,2022-01-07 00:00:00,17,Not Hispanic or Latino,None,2022,5,F,25,
Rifle,t,None (no bias),Relationship Unknown,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,30,30 Years Old,Responding to Disturbance Call,I,LAWRENCEBURG,Lawrenceburg,Kentucky,11855,14,0,1,7,1.3,1.9,2022-01-07 00:00:00,17,Not Hispanic or Latino,Minor Injury,2022,5,F,30,
Personal Weapons,t,None (no bias),Relationship Unknown,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,30,30 Years Old,Responding to Disturbance Call,I,LAWRENCEBURG,Lawrenceburg,Kentucky,11855,14,0,1,7,1.3,1.9,2022-01-07 00:00:00,17,Not Hispanic or Latino,Minor Injury,2022,5,F,30,
Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,28,28 Years Old,Responding to Disturbance Call,I,LEXINGTON,Lexington,Kentucky,320983,,,,,,,2022-01-10 00:00:00,9,Not Hispanic or Latino,Minor Injury,2022,5,F,28,
Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,38,38 Years Old,"Handling, Transporting, Custody of Prisoners",I,LEXINGTON,Lexington,Kentucky,320983,,,,,,,2022-01-20 00:00:00,9,Not Hispanic or Latino,Minor Injury,2022,5,F,38,
Personal Weapons,t,None (no bias),Victim Was Stranger,Bar/Nightclub,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,28,28 Years Old,Attempting Other Arrests,I,LEXINGTON,Lexington,Kentucky,320983,,,,,,,2022-01-25 00:00:00,20,Not Hispanic or Latino,None,2022,5,F,28,
Motor Vehicle/Vessel,f,None (no bias),Victim Was Stranger,Highway/Road/Alley/Street/Sidewalk,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,26,26 Years Old,Traffic Pursuits and Stops,I,CRANSTON,Cranston,Rhode Island,82205,131,11,11,19,1.7,2.1,2022-01-30 00:00:00,23,Not Hispanic or Latino,Minor Injury,2022,5,F,26,
Personal Weapons,t,None (no bias),Victim was Otherwise Known,School-Elementary/Secondary,Simple Assault,Person,f,t,09,Assault Offenses,A    ,Black or African American,20,36,36 Years Old,Responding to Disturbance Call,I,RAMSEY,Ramsey,Minnesota,78989,186,140,44,72,2.9,5.6,2022-01-26 00:00:00,10,Unknown,None,2022,5,F,36,
None,f,None (no bias),Relationship Unknown,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,22,22 Years Old,Responding to Disturbance Call,I,CALDWELL,Caldwell,North Carolina,53478,82,20,5,27,1.6,2.5,2022-01-25 00:00:00,0,Not Hispanic or Latino,None,2022,5,F,22,
None,f,None (no bias),Relationship Unknown,Parking/Drop Lot/Garage,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,22,22 Years Old,Investigating Suspicious Persons or Circumstances,I,HICKORY,Hickory,North Carolina,43756,101,13,11,17,2.6,3.2,2022-01-07 00:00:00,23,Not Hispanic or Latino,Minor Injury,2022,5,F,22,
None,f,None (no bias),Relationship Unknown,Parking/Drop Lot/Garage,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,22,22 Years Old,Investigating Suspicious Persons or Circumstances,I,HICKORY,Hickory,North Carolina,43756,101,13,11,17,2.6,3.2,2022-01-07 00:00:00,23,Not Hispanic or Latino,Minor Injury,2022,5,F,22,
Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,38,38 Years Old,All Other,I,IREDELL,Iredell,North Carolina,110861,156,48,22,49,1.6,2.5,2022-01-13 00:00:00,23,Not Hispanic or Latino,None,2022,5,F,38,
Personal Weapons,t,None (no bias),Victim Was Stranger,Daycare Facility,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,23,23 Years Old,All Other,I,MARION,Marion,North Carolina,7633,22,0,5,2,3.5,3.8,2022-01-15 00:00:00,1,Not Hispanic or Latino,Minor Injury,2022,5,F,23,
None,f,None (no bias),Victim was Otherwise Known,Grocery/Supermarket,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,37,37 Years Old,Attempting Other Arrests,I,ALBEMARLE,Albemarle,North Carolina,16819,32,8,5,7,2.2,3.1,2022-01-05 00:00:00,23,Not Hispanic or Latino,None,2022,5,F,37,
None,f,None (no bias),Relationship Unknown,Convenience Store,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,37,37 Years Old,Investigating Suspicious Persons or Circumstances,I,ALBEMARLE,Albemarle,North Carolina,16819,32,8,5,7,2.2,3.1,2022-01-25 00:00:00,21,Not Hispanic or Latino,None,2022,5,F,37,
Personal Weapons,t,None (no bias),Victim was Otherwise Known,Jail/Prison/Penitentiary/Corrections Facility,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,27,27 Years Old,"Handling, Transporting, Custody of Prisoners",I,POTTER,Potter,Texas,16830,75,82,16,55,5.4,13.5,2022-01-17 00:00:00,4,Not Specified,Minor Injury,2022,5,F,27,
Personal Weapons,t,None (no bias),Relationship Unknown,Highway/Road/Alley/Street/Sidewalk,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,23,23 Years Old,Responding to Disturbance Call,I,ROSENBERG,Rosenberg,Texas,40472,66,3,10,21,1.9,2.5,2022-01-17 00:00:00,19,Not Hispanic or Latino,None,2022,5,F,23,
Personal Weapons,t,None (no bias),Relationship Unknown,Highway/Road/Alley/Street/Sidewalk,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,23,23 Years Old,Responding to Disturbance Call,I,ROSENBERG,Rosenberg,Texas,40472,66,3,10,21,1.9,2.5,2022-01-17 00:00:00,19,Not Hispanic or Latino,None,2022,5,F,23,
Personal Weapons,t,None (no bias),Victim Was Stranger,Parking/Drop Lot/Garage,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,23,23 Years Old,Responding to Disturbance Call,I,ROSENBERG,Rosenberg,Texas,40472,66,3,10,21,1.9,2.5,2022-01-16 00:00:00,20,Not Hispanic or Latino,None,2022,5,F,23,
Personal Weapons,t,None (no bias),Victim Was Stranger,Parking/Drop Lot/Garage,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,23,23 Years Old,Responding to Disturbance Call,I,ROSENBERG,Rosenberg,Texas,40472,66,3,10,21,1.9,2.5,2022-01-16 00:00:00,20,Not Hispanic or Latino,None,2022,5,F,23,
Personal Weapons,t,None (no bias),Victim Was Stranger,Parking/Drop Lot/Garage,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,23,23 Years Old,Responding to Disturbance Call,I,ROSENBERG,Rosenberg,Texas,40472,66,3,10,21,1.9,2.5,2022-01-16 00:00:00,20,Not Hispanic or Latino,None,2022,5,F,23,
Handgun,t,None (no bias),Victim was Otherwise Known,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,34,34 Years Old,Responding to Disturbance Call,I,FORT WAYNE,Fort Wayne,Indiana,267791,424,16,55,53,1.8,2.0,2022-01-07 00:00:00,19,Not Hispanic or Latino,None,2022,5,F,34,
