state,year,2022,2023,2024,total_pop,fem_pop,white_pop,black_pop,nat_amer_pop,asian_pop,hispanic_pop,other_race_pop,diversity_index,%_fem_age_18-29,%_fem_age_30-39,%_fem_age_40-49,fem_age_50-59,fem_age_60-69,fem_age_70-79,fem_age_80+,age_coef_variation,fem_poverty_rate,male_poverty_rate,poverty_gender_disparity_score,fem_labor_force_part,all_labor_force_part,labor_force_ratio,unemployment_rate,mhhi,%_at_least_bach_degree,%_at_least_high_school,avg_years_schooling,gun_deaths_per_100k
Iowa,2021,0,0,0,3193079,1589812,0.829754,0.035142,0.002677666,0.02318,0.066489429,0.04275779,0.30347987,0.209386623,0.164410527,0.150859904,0.154351025,0.16554406,0.10061051,0.054837352,0.545045958,0.124,0.099,1.252525253,0.618837313,0.660928043,0.936315715,0.036,65600,0.305410523,0.933248209,13.57389013,11.2
Iowa,2022,1,0,0,3200517,1592858,0.828026,0.037183,0.001670355,0.0234,0.068121494,0.041599842,0.30606962,0.208952707,0.164668589,0.152604147,0.14997115,0.16015632,0.107879892,0.055767195,0.516937811,0.121,0.098,1.234693878,0.626459981,0.66628976,0.940221536,0.029,69588,0.323131487,0.934697716,13.65250976,11.2
Iowa,2023,0,1,0,3207004,1604691,0.823818,0.039343,0.001601183,0.023449,0.073011446,0.038777314,0.31238858,0.205704596,0.161431477,0.158515084,0.147334767,0.161998218,0.106885231,0.058130628,0.543860245,0.125,0.101,1.237623762,0.626570784,0.662579014,0.945654436,0.028,71433,0.315496728,0.932844202,13.61092214,11.3
Iowa,2024,0,0,1,3241488,1618802,0.811816,0.040608,0.002021911,0.025698,0.078119678,0.041736696,0.33079709,0.208110983,0.162996023,0.157702894,0.1422387,0.159806358,0.110579939,0.058565103,0.529617792,0.125,0.102,1.225490196,0.630620346,0.665423306,0.947698014,0.032,75501,0.320507815,0.9298637,13.62766572,10.5
Kansas,2021,0,0,0,2934582,1459972,0.733648,0.051466,0.003643449,0.028579,0.127351357,0.055312477,0.43900363,0.213194945,0.176373246,0.150567703,0.153048168,0.159064721,0.096987587,0.050763628,0.52340335,0.128,0.106,1.20754717,0.611682727,0.656636343,0.931539555,0.044,64124,0.353967519,0.918943759,13.69975795,16.9
Kansas,2022,1,0,0,2937150,1463359,0.731302,0.050275,0.004107723,0.028969,0.129971571,0.055375109,0.44185505,0.218930803,0.172769304,0.152478174,0.148537647,0.154878013,0.098697908,0.05370815,0.544167061,0.129,0.111,1.162162162,0.609048495,0.656877214,0.927187733,0.036,68925,0.356083194,0.92072512,13.71475419,17.3
Kansas,2023,0,1,0,2940547,1464046,0.727468,0.052216,0.004330147,0.025943,0.136599075,0.053443118,0.44585688,0.216624854,0.167694116,0.159473664,0.142626062,0.157072059,0.104867865,0.051641381,0.492442377,0.123,0.101,1.217821782,0.615076953,0.662341271,0.928640536,0.033,70333,0.358191583,0.916815421,13.72834073,17
Kansas,2024,0,0,1,2970606,1483373,0.718082,0.051233,0.004561359,0.030052,0.14231507,0.053756708,0.45766601,0.21540682,0.170174555,0.159181322,0.139246589,0.156150595,0.108443461,0.051396658,0.473948887,0.119,0.098,1.214285714,0.618468091,0.666490542,0.927947288,0.037,75514,0.360485369,0.920021847,13.75634045,16.3
Kentucky,2021,0,0,0,4509394,2280066,0.826559,0.070992,0.001619286,0.01398,0.039195289,0.04765474,0.30775515,0.20115093,0.1667038,0.158175316,0.167119362,0.161189719,0.09985273,0.045808143,0.458757043,0.18,0.149,1.208053691,0.546744341,0.588362178,0.929264936,0.054,55573,0.269801782,0.87987785,13.20460208,20.1
Kentucky,2022,1,0,0,4512310,2279152,0.822416,0.076057,0.000953392,0.013793,0.041549229,0.04523027,0.31388318,0.202180569,0.164089632,0.159483041,0.161498763,0.162888631,0.103118028,0.046741336,0.453279961,0.181,0.148,1.222972973,0.554997606,0.598606209,0.927149766,0.043,59341,0.278614355,0.890001905,13.28092424,21.1
Kentucky,2023,0,1,0,4526154,2282464,0.815389,0.073828,0.001219799,0.014175,0.048503873,0.046884618,0.32493641,0.200440616,0.169220193,0.156068045,0.161059297,0.158880806,0.107217657,0.047113387,0.439418173,0.183,0.144,1.270833333,0.561832391,0.60288926,0.931899816,0.041,61118,0.278464249,0.895404172,13.29882518,18.9
Kentucky,2024,0,0,1,4588372,2313745,0.803003,0.070272,0.00128259,0.018556,0.055060924,0.051824482,0.344184,0.201245863,0.168516627,0.159870404,0.155578798,0.160107598,0.107459034,0.047221677,0.439438873,0.169,0.142,1.190140845,0.561614074,0.602432513,0.932243964,0.049,64526,0.279440857,0.889818484,13.2789768,18.4
Louisiana,2021,0,0,0,4624047,2363181,0.56891,0.31019,0.00378305,0.017176,0.055381357,0.044559452,0.57476187,0.202905367,0.18139893,0.156896488,0.157176351,0.1600726,0.09582249,0.045727774,0.477213375,0.215,0.176,1.201183432,0.552472803,0.585183353,0.94410205,0.076,52087,0.264459355,0.866771826,13.11077074,26.3
Louisiana,2022,1,0,0,4590241,2342095,0.567121,0.309364,0.004355109,0.017683,0.057124016,0.044353227,0.57710598,0.202912549,0.179494945,0.15428524,0.152968226,0.163314209,0.101382035,0.045642796,0.450205952,0.205,0.165,1.242424242,0.561040751,0.594416144,0.943851806,0.054,55416,0.271341462,0.872975572,13.15393681,29.1
Louisiana,2023,0,1,0,4573749,2337609,0.556767,0.301304,0.004836951,0.017255,0.071495834,0.048340869,0.59145676,0.197585893,0.174116564,0.164688414,0.152149485,0.159968936,0.106024332,0.045466376,0.428829636,0.211,0.165,1.278787879,0.558247293,0.592347138,0.942432666,0.049,58229,0.269915205,0.878108269,13.15722521,28.2
Louisiana,2024,0,0,1,4597740,2355168,0.551504,0.301768,0.003869292,0.017735,0.077783433,0.04734065,0.59615873,0.1978502,0.1759088,0.1658513,0.1448378,0.1600012,0.1091723,0.0463783,0.424817881,0.203,0.169,1.201183432,0.568050233,0.599099254,0.948173827,0.052,60986,0.27836477,0.882307263,13.19510957,28.3
Maine,2021,0,0,0,1372247,698764,0.900387,0.014919,0.003339049,0.012251,0.019112448,0.049991729,0.18605416,0.166609387,0.155638995,0.141098645,0.173314277,0.185468482,0.123831145,0.054039067,0.436393181,0.127,0.103,1.233009709,0.578800847,0.613400202,0.943594159,0.049,64767,0.359878748,0.945280067,13.92339998,10.4
Maine,2022,1,0,0,1385340,700783,0.901752,0.01558,0.0037572,0.011659,0.020729207,0.046523597,0.18385658,0.165948438,0.153536192,0.140445781,0.168596174,0.186732898,0.124061054,0.060679463,0.489109681,0.117,0.098,1.193877551,0.592768139,0.61709945,0.960571491,0.033,69543,0.360686547,0.946446166,13.94690921,12.6
Maine,2023,0,1,0,1395722,710596,0.895185,0.017405,0.003378896,0.010961,0.022342558,0.050727867,0.19513733,0.164689492,0.151437763,0.145511025,0.162064806,0.18810276,0.127653344,0.06054081,0.474259492,0.115,0.092,1.25,0.5828179,0.621079494,0.938395014,0.032,73733,0.369944971,0.949101457,13.96570719,12
Maine,2024,0,0,1,1405012,712324,0.891321,0.019855,0.003419188,0.013324,0.023394106,0.048687129,0.2020466,0.163088368,0.154617041,0.144316551,0.155963437,0.184812066,0.135892724,0.061309813,0.451163323,0.118,0.094,1.255319149,0.588382406,0.618849547,0.950768097,0.027,76442,0.371109589,0.947705259,13.98630385,14
Maryland,2021,0,0,0,6165129,3162038,0.478384,0.290353,0.001276859,0.065721,0.110998975,0.053265877,0.66736465,0.190507608,0.175542785,0.162257975,0.168966953,0.157205657,0.096012699,0.049506324,0.515622671,0.112,0.092,1.217391304,0.625210486,0.665525421,0.939423898,0.059,90203,0.425483589,0.910883494,14.05906568,13.5
Maryland,2022,1,0,0,6164660,3160543,0.471476,0.292135,0.001448579,0.065181,0.114498123,0.055260793,0.67195278,0.190507608,0.175542785,0.162257975,0.168966953,0.157205657,0.096012699,0.049506324,0.515622671,0.107,0.085,1.258823529,0.628354853,0.66996023,0.937898737,0.04,94991,0.438313188,0.914162749,14.11583481,15.2
Maryland,2023,0,1,0,6180253,3180149,0.463249,0.288624,0.00107714,0.065968,0.126424598,0.054656986,0.67877269,0.18635073,0.176366027,0.164886023,0.165441995,0.156572551,0.101784954,0.048597719,0.477454845,0.105,0.085,1.235294118,0.635291993,0.674899268,0.941313798,0.04,121875,0.437469851,0.911579897,14.0946729,13.6
Maryland,2024,0,0,1,6263220,3225078,0.453071,0.286892,0.001605085,0.068913,0.132671054,0.056847436,0.68683436,0.187743403,0.177185194,0.166346056,0.158951516,0.157165156,0.101823715,0.05078496,0.498753752,0.1,0.08,1.25,0.645316633,0.678787244,0.950690571,0.043,102905,0.446892889,0.914233358,14.1365617,12.3
Massachusetts,2021,0,0,0,6984723,3576471,0.674789,0.062649,0.000732456,0.070126,0.128473241,0.063230424,0.5153135,0.204588272,0.172707925,0.150044201,0.169514397,0.156872183,0.096482353,0.049790667,0.516059834,0.115,0.092,1.25,0.631177447,0.667572153,0.94548199,0.066,89645,0.466167621,0.911000242,14.1909266,3.7
Massachusetts,2022,1,0,0,6981974,3562487,0.669814,0.065847,0.000836153,0.071823,0.130484301,0.061195874,0.52108257,0.204929574,0.169724736,0.150734577,0.165239133,0.157541266,0.099608977,0.052221737,0.524267371,0.111,0.095,1.168421053,0.632616059,0.66799886,0.947031645,0.041,94488,0.46645035,0.913337635,14.20641535,3.4
Massachusetts,2023,0,1,0,7001399,3580213,0.659252,0.0652,0.000644014,0.073187,0.134884899,0.066832929,0.53311893,0.201310215,0.172814312,0.151057401,0.158720169,0.16010216,0.104019513,0.051976231,0.499677701,0.115,0.093,1.23655914,0.637271182,0.672093065,0.948188897,0.039,99858,0.477816356,0.913905143,14.2724166,3.7
Massachusetts,2024,0,0,1,7136171,3655032,0.650003,0.063261,0.000777448,0.076444,0.139962313,0.069551865,0.54322331,0.203799882,0.173935405,0.152207425,0.154425335,0.158107661,0.103653555,0.053870738,0.51971915,0.11,0.084,1.30952381,0.639056179,0.671910358,0.95110333,0.041,104828,0.482736481,0.913950025,14.27131399,3.7
Michigan,2021,0,0,0,10050811,5073942,0.728577,0.132266,0.003355351,0.031868,0.05568864,0.048244465,0.44522528,0.200072895,0.160168937,0.149624416,0.167469049,0.169230227,0.104524336,0.048910139,0.467930639,0.141,0.12,1.175,0.565278956,0.608931183,0.928313365,0.069,63498,0.316724506,0.919634762,13.60676258,14.6
Michigan,2022,1,0,0,10034118,5055029,0.726427,0.130601,0.002891236,0.033459,0.057045871,0.049576355,0.4484078,0.201155215,0.161261428,0.147731664,0.162567284,0.168463699,0.106103795,0.052716915,0.496842884,0.146,0.121,1.20661157,0.572580653,0.616064059,0.929417395,0.046,66986,0.321230466,0.91836568,13.60927443,15.4
Michigan,2023,0,1,0,10037261,5071744,0.723472,0.1304,0.003389769,0.033627,0.05962543,0.049485811,0.45243756,0.195850775,0.163768489,0.148744607,0.159901626,0.168413242,0.110157094,0.053164165,0.482621348,0.146,0.123,1.18699187,0.580705152,0.617357058,0.940630943,0.045,69183,0.326756429,0.920321279,13.63789838,15.1
Michigan,2024,0,0,1,10140459,5124917,0.716394,0.128522,0.003296695,0.03732,0.06132178,0.053145129,0.46227377,0.197210789,0.166185205,0.148003993,0.155045041,0.165654211,0.113369195,0.054531566,0.48100867,0.146,0.123,1.18699187,0.577872855,0.616163863,0.937855803,0.045,72389,0.333260447,0.922410463,13.68160835,13.9
Minnesota,2021,0,0,0,5707390,2846722,0.768612,0.067377,0.006821507,0.050311,0.05817703,0.048701596,0.39636216,0.197292693,0.176413116,0.157576172,0.162579643,0.160725883,0.095338718,0.050073773,0.525219703,0.102,0.084,1.214285714,0.650068191,0.683807387,0.950659796,0.049,77720,0.388952642,0.941302348,13.97216487,8.9
Minnesota,2022,1,0,0,5717184,2847546,0.761974,0.069121,0.007368138,0.051564,0.058390634,0.051581863,0.40583422,0.197798732,0.175619184,0.157703966,0.155472347,0.160787755,0.100886479,0.051731536,0.512769764,0.105,0.088,1.193181818,0.642158688,0.67953417,0.944998377,0.032,82338,0.391396085,0.94031463,13.97381848,10
Minnesota,2023,0,1,0,5737915,2867907,0.755577,0.071124,0.007226144,0.051722,0.063954764,0.050396703,0.41468757,0.194047004,0.176301648,0.160273081,0.151532332,0.162498371,0.102431512,0.052916052,0.516599347,0.102,0.083,1.228915663,0.649893326,0.68367517,0.950587874,0.03,85086,0.399892429,0.943214832,14.03733482,9.7
Minnesota,2024,0,0,1,5793151,2895281,0.747297,0.074662,0.007413064,0.052279,0.067050729,0.051298162,0.42605728,0.196314995,0.175222716,0.162992981,0.144995216,0.159890653,0.106549966,0.054033473,0.507118631,0.101,0.086,1.174418605,0.650115416,0.681484541,0.953969426,0.037,87117,0.400304335,0.941979686,14.02989918,8.9
Mississippi,2021,0,0,0,2949965,1514542,0.554353,0.360377,0.004069201,0.00829,0.031820039,0.041090657,0.56003493,0.204749141,0.167288316,0.161264713,0.158429972,0.163350387,0.099445353,0.045472118,0.457257348,0.211,0.175,1.205714286,0.53629026,0.566491133,0.946687827,0.064,48716,0.247775214,0.864854456,13.07450282,28.6
Mississippi,2022,1,0,0,2940057,1513368,0.553043,0.364946,0.004236993,0.008577,0.033052761,0.036143857,0.55846709,0.205389873,0.163164904,0.163255216,0.153022104,0.163124618,0.103209448,0.048833837,0.473152779,0.207,0.175,1.182857143,0.53592658,0.571217089,0.938218745,0.049,52719,0.247634367,0.875962272,13.1135392,33.9
Mississippi,2023,0,1,0,2939690,1514769,0.550721,0.355352,0.004270858,0.009389,0.037379452,0.042887515,0.56708795,0.201561174,0.15815219,0.171633109,0.15366577,0.16256657,0.105299846,0.047121341,0.447496768,0.196,0.163,1.202453988,0.545152493,0.575811369,0.946755348,0.048,54203,0.25537094,0.877570201,13.18568015,29.7
Mississippi,2024,0,0,1,2943045,1521745,0.549524,0.358129,0.003797427,0.01225,0.040274274,0.036025613,0.56668278,0.204606145,0.157022626,0.166366977,0.151430374,0.162680944,0.109741072,0.048151861,0.438777025,0.199,0.155,1.283870968,0.558504969,0.589036849,0.948166435,0.046,59127,0.270174662,0.880017766,13.25713676,29.4
Missouri,2021,0,0,0,6168187,3123006,0.765597,0.107193,0.002158333,0.01992,0.04562848,0.059502736,0.39634716,0.198041377,0.170231283,0.154340458,0.159593397,0.165864538,0.101104165,0.050824782,0.502697211,0.139,0.114,1.219298246,0.58810812,0.627725356,0.936887628,0.046,61847,0.317189281,0.915917726,13.58330246,23.9
Missouri,2022,1,0,0,6177957,3131606,0.766177,0.106304,0.001993054,0.021437,0.047226454,0.056862649,0.39574454,0.202594288,0.169863275,0.152289356,0.154608965,0.163552616,0.104757107,0.052334393,0.499578451,0.143,0.12,1.191666667,0.588860124,0.628393911,0.937087572,0.037,64811,0.322005142,0.915576923,13.58776372,23.2
Missouri,2023,0,1,0,6196156,3139380,0.764749,0.106772,0.001840496,0.020492,0.052498355,0.053648585,0.39770164,0.199563221,0.169796788,0.155516371,0.151779473,0.163963075,0.106293541,0.05308753,0.499442673,0.13,0.109,1.19266055,0.602965351,0.639487213,0.942888831,0.034,68545,0.295471417,0.904758,13.4713508,24.4
Missouri,2024,0,0,1,6245466,3165408,0.76208,0.103844,0.002182703,0.022603,0.055512271,0.053777733,0.40196134,0.200875342,0.170859655,0.155888863,0.148254956,0.160172022,0.111027252,0.052921909,0.476656932,0.134,0.111,1.207207207,0.597950046,0.635177561,0.941390381,0.033,71589,0.334716078,0.920076955,13.68124013,21.4
Montana,2021,0,0,0,1104271,543360,0.838064,0.005072,0.05531432,0.008931,0.042942357,0.049676212,0.29017145,0.195467871,0.16843919,0.1449666,0.149171281,0.180535558,0.11186293,0.04955657,0.443011549,0.126,0.111,1.135135135,0.582049219,0.618444931,0.941149631,0.04,63249,0.347984631,0.943518033,13.88888411,20.9
Montana,2022,1,0,0,1122867,555594,0.834796,0.003053,0.052319642,0.006857,0.044377473,0.058596432,0.29491887,0.197601477,0.167947908,0.148910495,0.142550435,0.17169574,0.119900247,0.051393698,0.428637136,0.129,0.114,1.131578947,0.602896817,0.635051823,0.949366328,0.03,67631,0.345975112,0.940477797,13.81933902,25.1
Montana,2023,0,1,0,1132812,560233,0.833013,0.004198,0.053966589,0.007868,0.046362503,0.054592465,0.29796779,0.191383507,0.167970189,0.154169955,0.141580677,0.169856744,0.121353912,0.053685015,0.442383887,0.131,0.103,1.27184466,0.592294701,0.629679446,0.940628925,0.027,70804,0.346216914,0.944273068,13.85159924,24.5
Montana,2024,0,0,1,1137233,561786,0.832917,0.003022,0.050858531,0.007774,0.04880794,0.056619884,0.29800464,0.190222722,0.159514367,0.161980158,0.138395247,0.165739496,0.129897312,0.054250699,0.417642964,0.109,0.096,1.135416667,0.601241279,0.632373754,0.95076887,0.03,75340,0.363352241,0.945689513,13.92476383,21.5
Nebraska,2021,0,0,0,1963692,977673,0.764248,0.045807,0.006394078,0.022528,0.119061441,0.041962283,0.39734243,0.214029251,0.170792109,0.160763982,0.152906489,0.157820292,0.094131929,0.049555948,0.526452066,0.12,0.095,1.263157895,0.642379116,0.68634357,0.935943957,0.027,66817,0.344486343,0.921615336,13.64671235,10.1
Nebraska,2022,1,0,0,1967923,979086,0.758162,0.04549,0.005208029,0.025032,0.12292046,0.043187665,0.40549231,0.213896517,0.175088019,0.156998523,0.14365133,0.155251146,0.103272069,0.051842396,0.501998235,0.126,0.099,1.272727273,0.63544634,0.682762519,0.93069892,0.023,69597,0.346526482,0.927922135,13.70050089,10.3
Nebraska,2023,0,1,0,1978379,985970,0.751588,0.043083,0.00495355,0.024235,0.12911985,0.047020819,0.41376524,0.213959701,0.171373984,0.163032596,0.140515039,0.158153759,0.102230734,0.050734187,0.496271376,0.111,0.098,1.132653061,0.647409734,0.690144326,0.938078762,0.027,74590,0.35286396,0.926509624,13.6953106,12.3
Nebraska,2024,0,0,1,2005466,995837,0.739654,0.044887,0.006689717,0.027502,0.135391974,0.045876121,0.42966112,0.21576373,0.171036999,0.166546689,0.139874552,0.148753044,0.106634215,0.051390772,0.481935108,0.124,0.094,1.319148936,0.63367157,0.687059546,0.922294979,0.034,76376,0.353588728,0.926486671,13.69205619,10.6
Nevada,2021,0,0,0,3143991,1558784,0.451737,0.087151,0.005951671,0.083546,0.299224457,0.07238952,0.6865477,0.195070587,0.187529896,0.163682526,0.161961212,0.15145321,0.10093118,0.039371388,0.390081517,0.15,0.132,1.136363636,0.585952361,0.62961104,0.930657698,0.097,66274,0.275729128,0.871557068,13.07316586,17
