state_name,data_year,total_incidents,white_victims,black_victims,nat_amer_victims,asian_victims,hispanic_victims,other_race_victims,victims_age_18_29,victims_age_30_39,victims_age_40_49,victims_age_50_59,victims_age_60_69,victims_age_70_79,victims_age_80_plus,involving_firearm,sex_assaults,victim_offender_nonmarried_partner,victim_offender_rel_spouse,dv_total,firearm_nonmarried,near_school,on_tribal_lands,fem_pop,white_pop,black_pop,nat_amer_pop,asian_pop,hispanic_pop,other_race_pop,diversity_index,%_fem_age_18-29,%_fem_age_30-39,%_fem_age_40-49,fem_age_50-59,fem_age_60-69,fem_age_70-79,fem_age_80+,age_coef_variation,fem_poverty_rate,male_poverty_rate,poverty_gender_disparity_score,fem_labor_force_part,all_labor_force_part,labor_force_ratio,unemployment_rate,mhhi,%_at_least_bach_degree,%_at_least_high_school,avg_years_schooling,gun_deaths_per_100k,white_adj_rate,black_adj_rate,nat_amer_adj_rate,asian_adj_rate,hispanic_adj_rate
New Hampshire,2021,5500,5103,220,4,53,309,120,1836,1669,956,638,269,82,50,76,596,1359,539,2728,12,110,0,570043,0.872510425,0.013015194,0.000499643,0.026050546,0.043429336,0.044494857,0.234011383,0.184228278,0.155218494,0.14329612,0.180565387,0.178573453,0.108644975,0.049473293,0.455366605,0.085,0.06,1.416666667,0.620781699,0.66657419,0.931301734,0.036,88465,0.402467277,0.944382625,14.07596512,8.9,1025.999919,2965.271189,1404.405647,356.9040058,1248.152563
New Hampshire,2022,5607,5200,244,10,42,406,111,1752,1696,1015,653,297,118,76,116,516,1308,625,2839,17,123,2,573629.4,0.86587884,0.012851635,0.000726761,0.02617416,0.045497126,0.048871477,0.244944645,0.178836121,0.161404283,0.14000366,0.173828079,0.179892887,0.112990878,0.053044093,0.469454647,0.082,0.063,1.301587302,0.618687164,0.6582283,0.939927931,0.025,89992,0.413034993,0.945349246,14.19613576,8.3,1046.923178,3309.786969,2398.705794,279.7339228,1555.645611
New Hampshire,2023,5145,4726,256,7,37,370,119,1589,1522,959,573,296,133,73,78,260,1183,524,2565,12,128,0,578627.8,0.864750573,0.014009446,0.001151168,0.025612423,0.046681512,0.047794878,0.246889346,0.175253289,0.164158901,0.139819618,0.164891178,0.18843288,0.115416772,0.052027362,0.450778179,0.082,0.062,1.322580645,0.628436749,0.664777696,0.945333685,0.026,96838,0.40748328,0.943745908,14.14878876,10.3,944.5034823,3158.055139,1050.896719,249.6616078,1369.801112
New Hampshire,2024,5543,5105,230,2,64,431,142,1756,1584,1084,620,289,140,70,82,250,1332,578,2773,14,176,0,580894,0.863996701,0.013094806,0.000714675,0.026706278,0.050326749,0.045160791,0.248052211,0.172352032,0.162115952,0.145483751,0.159540582,0.189708832,0.115247159,0.055551691,0.482022219,0.081,0.063,1.285714286,0.628024048,0.663732427,0.946200641,0.028,99782,0.415183496,0.950461208,14.20654217,9.6,1017.154141,3023.652494,481.7530963,412.5434705,1474.285189
New Jersey,2021,8518,4492,3567,22,210,2304,227,3404,2498,1361,806,315,91,43,187,509,3481,873,5087,40,43,0,3725502.4,0.521067472,0.123179992,0.000648313,0.099100153,0.214913895,0.041090176,0.655617734,0.187854452,0.168392134,0.163714858,0.17742031,0.158475069,0.093113752,0.051029426,0.54803319,0.113,0.091,1.241758242,0.607350697,0.656248544,0.92548883,0.081,89296,0.431025943,0.909809316,13.94634954,5,231.398712,777.2810688,910.8630883,56.88007001,287.7617938
New Jersey,2022,19296,11036,7324,39,424,5504,473,7325,5597,3304,1962,763,256,89,422,1111,6761,1999,10593,72,209,0,3731190,0.514643803,0.12002463,0.000923913,0.099716693,0.219017051,0.045673909,0.660736997,0.188867519,0.168536368,0.163313775,0.17112034,0.157142342,0.099359316,0.051660341,0.519934549,0.106,0.087,1.218390805,0.609405848,0.661927473,0.920653504,0.05,96346,0.435284007,0.907130008,13.93093048,5.2,574.7216789,1635.424859,1131.321822,113.9595235,673.5240894
New Jersey,2023,23537,13527,8691,58,524,7226,737,8558,7156,4040,2252,1053,334,144,403,678,7947,2284,12766,71,271,1,3745328,0.506163758,0.120161243,0.000845133,0.101205047,0.22660489,0.045019929,0.66573978,0.185459967,0.17044116,0.163486753,0.168198126,0.160360318,0.09981442,0.052239256,0.523363819,0.108,0.086,1.255813953,0.621782607,0.669166783,0.929189288,0.047,99781,0.437759106,0.906693988,13.94258419,5,713.5437177,1931.147652,1832.369592,138.2417614,851.4101483
New Jersey,2024,26247,15121,9449,65,697,8371,915,9516,7898,4608,2488,1180,385,172,429,818,8355,2579,13865,83,359,0,3833050.4,0.494946084,0.12171636,0.000723619,0.105417083,0.234659401,0.042537453,0.672225747,0.188143972,0.17447265,0.1622326,0.164042535,0.155720821,0.10267565,0.052711772,0.513381434,0.101,0.082,1.231707317,0.625817226,0.668729053,0.935830772,0.054,104294,0.445471056,0.903613752,13.93851124,4.6,797.0362815,2025.313993,2343.467124,172.495295,930.6681565
New Mexico,2021,14539,10434,524,2806,57,6637,718,5229,4153,2685,1463,694,242,73,1681,675,4068,1137,7277,122,77,4,830762.2,0.349129935,0.016609661,0.081407379,0.014981022,0.500613221,0.037258782,0.618979001,0.20081667,0.170516587,0.153758512,0.14862309,0.169864451,0.105117064,0.051303627,0.48806183,0.198,0.171,1.157894737,0.533895172,0.569285482,0.93783381,0.078,53992,0.300527593,0.874810158,13.37740262,22.7,3597.385809,3797.465094,4149.035651,457.9907283,1595.852598
New Mexico,2022,20434,14969,772,3041,68,8506,1584,7129,5926,3747,2116,1017,396,103,2107,861,5174,1540,9598,187,203,2,840905.2,0.348016225,0.017446284,0.081296751,0.0169731,0.501511822,0.034755818,0.618961012,0.203224558,0.168325122,0.152765525,0.149136642,0.160492215,0.115213559,0.05084238,0.441288166,0.192,0.159,1.20754717,0.542296333,0.585054655,0.92691568,0.048,59726,0.304582043,0.880051255,13.39826471,27.8,5115.007307,5262.199686,4448.321751,476.4317598,2016.959442
New Mexico,2023,21753,16102,937,3019,95,9535,1600,7743,6077,3893,2311,1191,428,110,2394,687,5477,1564,10215,204,236,13,844574,0.359324357,0.017495038,0.082684165,0.016989923,0.485941209,0.037565309,0.625904591,0.1976266,0.170297184,0.152360902,0.139824164,0.162640378,0.122501698,0.054749074,0.446925021,0.192,0.163,1.17791411,0.543095237,0.586433503,0.926098585,0.048,62268,0.316480599,0.874987849,13.38724944,27.5,5305.855981,6341.426938,4323.177434,662.055636,2323.267729
New Mexico,2024,22444,16605,805,3430,86,9742,1518,7637,6572,4073,2279,1248,471,164,2050,736,5609,1729,10684,166,286,7,852638,0.350620301,0.019994311,0.082667529,0.018928241,0.491139563,0.036650055,0.626912137,0.198142187,0.173482918,0.15470383,0.137922442,0.155215104,0.123894111,0.056639407,0.457159798,0.169,0.159,1.062893082,0.544050155,0.587181625,0.926544925,0.053,67816,0.317830976,0.87871689,13.40425011,25.3,5554.399811,4721.986631,4866.250703,532.8727479,2326.368569
New York,2021,18012,11547,5502,74,147,1990,742,7017,5485,2826,1793,635,200,56,596,756,4493,0,7926,61,91,2,8128073.4,0.534568638,0.133693266,0.001801077,0.086391738,0.194815182,0.048730099,0.648568128,0.196914303,0.174639775,0.152926366,0.167288058,0.157341011,0.098851389,0.052039098,0.526437702,0.149,0.129,1.15503876,0.589657586,0.625422683,0.94281452,0.087,74314,0.399202794,0.88034827,13.6996597,5.3,265.752937,506.3180807,505.4891319,20.93425485,125.6731964
