weapon_name,shr_flag,bias_desc,relationship_name,location_name,offense_name,crime_against,ct_flag,hc_flag,hc_code,offense_category_name,offense_group,race_desc,sort_order,age_code,age_name,activity_type_name,reporting_type,ucr_agency_name,pub_agency_name,state_name,population,male_officer,male_civilian,female_officer,female_civilian,officer_rate,employee_rate,incident_date,incident_hour,ethnicity_name,injury_name,data_year,sex_code,age_range_low_num,age_range_high_num
Personal Weapons,t,None (no bias),Relationship Unknown,Field/Woods,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,Unknown,98,30,30 Years Old,Responding to Disturbance Call,I,KALAMAZOO,Kalamazoo,Michigan,76179,203,6,42,19,3.2,3.5,2021-10-08 00:00:00,12,Not Specified,Other Major Injury,2021,F,30,
Personal Weapons,t,None (no bias),Relationship Unknown,Field/Woods,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,Unknown,98,30,30 Years Old,Responding to Disturbance Call,I,KALAMAZOO,Kalamazoo,Michigan,76179,203,6,42,19,3.2,3.5,2021-10-08 00:00:00,12,Not Specified,Other Major Injury,2021,F,30,
Blunt Object,t,None (no bias),Victim Was Stranger,Restaurant,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,Black or African American,20,27,27 Years Old,Responding to Disturbance Call,I,DETROIT,Detroit,Michigan,673708,1854,155,621,470,3.7,4.6,2021-11-13 00:00:00,15,Not Specified,Minor Injury,2021,F,27,
Blunt Object,t,None (no bias),Victim Was Stranger,Restaurant,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,Black or African American,20,27,27 Years Old,Responding to Disturbance Call,I,DETROIT,Detroit,Michigan,673708,1854,155,621,470,3.7,4.6,2021-11-13 00:00:00,15,Not Specified,Minor Injury,2021,F,27,
None,f,None (no bias),Victim Was Stranger,Highway/Road/Alley/Street/Sidewalk,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,26,26 Years Old,Traffic Pursuits and Stops,I,ECORSE,Ecorse,Michigan,9635,15,0,3,0,1.9,1.9,2021-11-15 00:00:00,19,Unknown,Minor Injury,2021,F,26,
Personal Weapons,t,None (no bias),Relationship Unknown,Highway/Road/Alley/Street/Sidewalk,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,25,25 Years Old,Investigating Suspicious Persons or Circumstances,I,FAYETTEVILLE,Fayetteville,North Carolina,212047,274,38,74,135,1.6,2.5,2021-04-06 00:00:00,10,Not Hispanic or Latino,None,2021,F,25,
Personal Weapons,t,None (no bias),Victim Was Stranger,Air/Bus/Train Terminal,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,38,38 Years Old,Responding to Disturbance Call,I,CHARLOTTE-MECKLENBURG,Charlotte-Mecklenburg,North Carolina,956282,1477,170,257,377,1.8,2.4,2021-04-11 00:00:00,15,Unknown,Minor Injury,2021,F,38,
,,None (no bias),Victim Was Acquaintance,Commercial/Office Building,Intimidation,Person,f,t,10,Assault Offenses,A    ,White,10,44,44 Years Old,Attempting Other Arrests,I,REDMOND,Redmond,Oregon,35230,43,5,5,9,1.4,1.8,2021-03-06 00:00:00,10,Not Hispanic or Latino,Minor Injury,2021,F,44,
,,None (no bias),Victim Was Acquaintance,Commercial/Office Building,Intimidation,Person,f,t,10,Assault Offenses,A    ,White,10,44,44 Years Old,Attempting Other Arrests,I,REDMOND,Redmond,Oregon,35230,43,5,5,9,1.4,1.8,2021-03-06 00:00:00,10,Not Hispanic or Latino,Minor Injury,2021,F,44,
Blunt Object,t,None (no bias),Victim Was Stranger,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,Asian,40,25,25 Years Old,Attempting Other Arrests,I,PORTLAND,Portland,Oregon,664350,654,99,137,150,1.2,1.6,2021-03-21 00:00:00,16,Not Specified,None,2021,F,25,
Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,29,29 Years Old,"Handling, Transporting, Custody of Prisoners",I,MYRTLE BEACH,Myrtle Beach,South Carolina,36543,180,22,27,54,5.7,7.7,2021-08-13 00:00:00,0,Not Hispanic or Latino,Minor Injury,2021,F,29,
Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,29,29 Years Old,"Handling, Transporting, Custody of Prisoners",I,MYRTLE BEACH,Myrtle Beach,South Carolina,36543,180,22,27,54,5.7,7.7,2021-08-13 00:00:00,0,Not Hispanic or Latino,Minor Injury,2021,F,29,
Personal Weapons,t,None (no bias),Victim Was Stranger,Highway/Road/Alley/Street/Sidewalk,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,26,26 Years Old,Attempting Other Arrests,I,METROPOLITAN NASHVILLE PD,Metropolitan Nashville Police Department,Tennessee,690553,1291,149,159,251,2.1,2.7,2021-04-01 00:00:00,22,Not Hispanic or Latino,None,2021,F,26,
Personal Weapons,t,None (no bias),Relationship Unknown,Hotel/Motel/Etc.,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,27,27 Years Old,Attempting Other Arrests,I,PLEASANTON,Pleasanton,Texas,11160,19,0,3,4,2,2.3,2021-04-13 00:00:00,14,Hispanic or Latino,None,2021,F,27,
Personal Weapons,t,None (no bias),Victim was Otherwise Known,Hotel/Motel/Etc.,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,27,27 Years Old,Attempting Other Arrests,I,PLEASANTON,Pleasanton,Texas,11160,19,0,3,4,2,2.3,2021-04-13 00:00:00,14,Hispanic or Latino,None,2021,F,27,
Personal Weapons,t,None (no bias),Victim was Otherwise Known,Hotel/Motel/Etc.,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,27,27 Years Old,Attempting Other Arrests,I,PLEASANTON,Pleasanton,Texas,11160,19,0,3,4,2,2.3,2021-04-13 00:00:00,14,Hispanic or Latino,None,2021,F,27,
Personal Weapons,t,None (no bias),Victim was Otherwise Known,Hotel/Motel/Etc.,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,27,27 Years Old,Attempting Other Arrests,I,PLEASANTON,Pleasanton,Texas,11160,19,0,3,4,2,2.3,2021-04-13 00:00:00,14,Hispanic or Latino,None,2021,F,27,
Blunt Object,t,None (no bias),Victim Was Stranger,Highway/Road/Alley/Street/Sidewalk,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,40,40 Years Old,Responding to Disturbance Call,I,BROWNSVILLE,Brownsville,Texas,184287,199,40,27,35,1.2,1.6,2021-01-22 00:00:00,13,Hispanic or Latino,None,2021,F,40,0
Personal Weapons,t,None (no bias),Relationship Unknown,Government/Public Building,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,31,31 Years Old,Attempting Other Arrests,I,HIDALGO,Hidalgo,Texas,250859,251,365,23,183,1.1,3.3,2021-05-07 00:00:00,21,Hispanic or Latino,None,2021,F,31,
Personal Weapons,t,None (no bias),Relationship Unknown,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,27,27 Years Old,Responding to Disturbance Call,I,ROMA,Roma,Texas,11534,23,4,1,4,2.1,2.8,2021-04-17 00:00:00,15,Hispanic or Latino,None,2021,F,27,
Personal Weapons,t,None (no bias),Victim Was Stranger,Service/Gas Station,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,24,24 Years Old,"Handling, Transporting, Custody of Prisoners",I,HOUSTON,Houston,Texas,2339252,4345,371,905,628,2.2,2.7,2021-03-22 00:00:00,5,Hispanic or Latino,Minor Injury,2021,F,24,
Personal Weapons,t,None (no bias),Relationship Unknown,Highway/Road/Alley/Street/Sidewalk,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,24,24 Years Old,Attempting Other Arrests,I,JAMES CITY COUNTY PD,James City County Police Department,Virginia,78587,82,4,18,8,1.3,1.4,2021-01-07 00:00:00,19,Not Hispanic or Latino,None,2021,F,24,0
Personal Weapons,t,None (no bias),Relationship Unknown,Highway/Road/Alley/Street/Sidewalk,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,27,27 Years Old,Attempting Other Arrests,I,JAMES CITY COUNTY PD,James City County Police Department,Virginia,78587,82,4,18,8,1.3,1.4,2021-01-07 00:00:00,19,Not Hispanic or Latino,Minor Injury,2021,F,27,0
Personal Weapons,t,None (no bias),Victim Was Stranger,Government/Public Building,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,38,38 Years Old,"Handling, Transporting, Custody of Prisoners",I,LYNCHBURG,Lynchburg,Virginia,82088,123,13,27,21,1.8,2.2,2021-08-10 00:00:00,18,Not Hispanic or Latino,None,2021,F,21,55
Personal Weapons,t,None (no bias),Victim Was Stranger,Government/Public Building,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,38,38 Years Old,"Handling, Transporting, Custody of Prisoners",I,LYNCHBURG,Lynchburg,Virginia,82088,123,13,27,21,1.8,2.2,2021-08-10 00:00:00,18,Not Hispanic or Latino,None,2021,F,21,55
Personal Weapons,t,None (no bias),Victim Was Stranger,Government/Public Building,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,38,38 Years Old,"Handling, Transporting, Custody of Prisoners",I,LYNCHBURG,Lynchburg,Virginia,82088,123,13,27,21,1.8,2.2,2021-08-10 00:00:00,18,Not Hispanic or Latino,None,2021,F,21,55
Personal Weapons,t,None (no bias),Victim Was Stranger,Government/Public Building,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,38,38 Years Old,"Handling, Transporting, Custody of Prisoners",I,LYNCHBURG,Lynchburg,Virginia,82088,123,13,27,21,1.8,2.2,2021-08-10 00:00:00,18,Not Hispanic or Latino,None,2021,F,21,55
Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,Native Hawaiian or Other Pacific Islander,50,25,25 Years Old,Attempting Other Arrests,I,SAN DIEGO,San Diego,California,1434673,1571,192,306,325,1.3,1.7,2021-06-20 00:00:00,11,Not Hispanic or Latino,None,2021,F,25,
Personal Weapons,t,None (no bias),Relationship Unknown,Jail/Prison/Penitentiary/Corrections Facility,Simple Assault,Person,f,t,09,Assault Offenses,A    ,Unknown,98,50,50 Years Old,"Handling, Transporting, Custody of Prisoners",I,JEFFERSON,Jefferson,Colorado,193451,311,183,70,175,2,3.8,2021-03-24 00:00:00,11,Unknown,Minor Injury,2021,F,50,
Knife/Cutting Instrument,t,None (no bias),Victim Was Stranger,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,54,54 Years Old,Responding to Disturbance Call,I,STERLING,Sterling,Colorado,14006,14,0,5,5,1.4,1.7,2021-08-30 00:00:00,14,Not Hispanic or Latino,None,2021,F,54,
Personal Weapons,t,None (no bias),Victim was Employee,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,27,27 Years Old,Attempting Other Arrests,I,DENVER,Denver,Colorado,740209,1233,168,214,169,2,2.4,2021-04-01 00:00:00,18,Hispanic or Latino,Minor Injury,2021,F,27,
Personal Weapons,t,None (no bias),Victim Was Stranger,Jail/Prison/Penitentiary/Corrections Facility,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,24,24 Years Old,"Handling, Transporting, Custody of Prisoners",I,DAWSON,Dawson,Georgia,27595,67,19,9,25,2.8,4.3,2021-11-28 00:00:00,22,Not Hispanic or Latino,None,2021,F,24,
Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,24,24 Years Old,Handling Persons with Mental Illness,I,LAKE,Lake,Indiana,50234,143,159,18,119,3.2,8.7,2021-02-03 00:00:00,14,Not Hispanic or Latino,Minor Injury,2021,F,24,
Unknown,f,None (no bias),Victim Was Stranger,Jail/Prison/Penitentiary/Corrections Facility,Simple Assault,Person,f,t,09,Assault Offenses,A    ,Black or African American,20,35,35 Years Old,All Other,I,JEFFERSON,Jefferson,Louisiana,327882,638,131,220,284,2.6,3.9,2021-09-15 00:00:00,22,Not Hispanic or Latino,None,2021,F,30,40
Personal Weapons,t,None (no bias),Victim Was Stranger,Commercial/Office Building,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,31,31 Years Old,Attempting Other Arrests,I,NEW BEDFORD,New Bedford,Massachusetts,96346,217,11,17,26,2.4,2.8,2021-05-18 00:00:00,13,Not Hispanic or Latino,None,2021,F,31,
Personal Weapons,t,None (no bias),Victim Was Stranger,Air/Bus/Train Terminal,Simple Assault,Person,f,t,09,Assault Offenses,A    ,Black or African American,20,28,28 Years Old,All Other,I,BOSTON,Boston,Massachusetts,704758,1873,213,311,319,3.1,3.9,2021-07-23 00:00:00,8,Hispanic or Latino,None,2021,F,28,
Personal Weapons,t,None (no bias),Victim Was Stranger,School-College/University,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,25,25 Years Old,Responding to Disturbance Call,I,MICH TECHNOLOGICAL UNIVE,Michigan Technological University,Michigan,0,8,0,3,5,0,0,2021-11-06 00:00:00,1,Unknown,None,2021,F,25,
Other,t,None (no bias),Victim Was Stranger,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,Black or African American,20,28,28 Years Old,Responding to Disturbance Call,I,ST. LOUIS,St. Louis,Missouri,295536,934,164,185,254,3.8,5.2,2021-09-26 00:00:00,18,Not Hispanic or Latino,None,2021,F,28,
Other,t,None (no bias),Victim Was Stranger,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,Black or African American,20,28,28 Years Old,Responding to Disturbance Call,I,ST. LOUIS,St. Louis,Missouri,295536,934,164,185,254,3.8,5.2,2021-09-26 00:00:00,18,Not Hispanic or Latino,None,2021,F,28,
Other,t,None (no bias),Victim Was Stranger,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,Black or African American,20,28,28 Years Old,Responding to Disturbance Call,I,ST. LOUIS,St. Louis,Missouri,295536,934,164,185,254,3.8,5.2,2021-09-26 00:00:00,18,Not Hispanic or Latino,None,2021,F,28,
Personal Weapons,t,None (no bias),Relationship Unknown,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,33,33 Years Old,Attempting Other Arrests,I,BILOXI,Biloxi,Mississippi,46317,115,12,13,41,2.8,3.9,2021-12-25 00:00:00,21,Not Hispanic or Latino,Minor Injury,2021,F,33,
Motor Vehicle/Vessel,f,None (no bias),Victim Was Stranger,Highway/Road/Alley/Street/Sidewalk,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,30,30 Years Old,Attempting Other Arrests,I,MISSOULA,Missoula,Montana,77852,98,6,15,21,1.5,1.8,2021-03-14 00:00:00,14,Not Hispanic or Latino,Minor Injury,2021,F,30,
Unknown,f,None (no bias),Relationship Unknown,Jail/Prison/Penitentiary/Corrections Facility,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,25,25 Years Old,All Other,I,CATAWBA,Catawba,North Carolina,84958,138,37,11,39,1.8,2.6,2021-06-20 00:00:00,4,Not Hispanic or Latino,Minor Injury,2021,F,25,
Personal Weapons,t,None (no bias),Relationship Unknown,Parking/Drop Lot/Garage,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,31,31 Years Old,All Other,I,FAYETTEVILLE,Fayetteville,North Carolina,212047,274,38,74,135,1.6,2.5,2021-06-05 00:00:00,23,Not Hispanic or Latino,None,2021,F,31,
Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,30,30 Years Old,Responding to Disturbance Call,I,LAS VEGAS METRO PD,Las Vegas Metropolitan Police Department,Nevada,1685021,3412,421,582,1345,2.4,3.4,2021-06-28 00:00:00,4,Hispanic or Latino,None,2021,F,30,
None,f,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,24,24 Years Old,Responding to Disturbance Call,I,LAS VEGAS METRO PD,Las Vegas Metropolitan Police Department,Nevada,1685021,3412,421,582,1345,2.4,3.4,2021-08-08 00:00:00,0,Not Hispanic or Latino,None,2021,F,24,
Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,American Indian or Alaska Native,30,31,31 Years Old,"Handling, Transporting, Custody of Prisoners",I,ROSEBUD TRIBAL,Rosebud Tribal,South Dakota,0,29,1,7,5,0,0,2021-06-01 00:00:00,21,Not Hispanic or Latino,Minor Injury,2021,F,31,
Personal Weapons,t,None (no bias),Victim Was Stranger,Jail/Prison/Penitentiary/Corrections Facility,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,23,23 Years Old,"Handling, Transporting, Custody of Prisoners",I,BEXAR,Bexar,Texas,281606,494,623,84,422,2.1,5.8,2021-09-22 00:00:00,9,Hispanic or Latino,Minor Injury,2021,F,23,
Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,40,40 Years Old,All Other,I,BRYAN,Bryan,Texas,89423,129,4,14,26,1.6,1.9,2021-08-26 00:00:00,23,Hispanic or Latino,Minor Injury,2021,F,40,
Personal Weapons,t,None (no bias),Victim was Otherwise Known,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,35,35 Years Old,Responding to Disturbance Call,I,SEGUIN,Seguin,Texas,30653,43,1,9,20,1.7,2.4,2021-03-13 00:00:00,23,Hispanic or Latino,Minor Injury,2021,F,35,
Knife/Cutting Instrument,t,None (no bias),Victim Was Stranger,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,34,34 Years Old,Attempting Other Arrests,I,ARLINGTON COUNTY PD,Arlington County Police Department,Virginia,243149,246,31,86,71,1.4,1.8,2021-12-28 00:00:00,20,Not Hispanic or Latino,None,2021,F,34,
Personal Weapons,t,None (no bias),Victim Was Stranger,Parking/Drop Lot/Garage,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,25,25 Years Old,Responding to Disturbance Call,I,FREDERICKSBURG,Fredericksburg,Virginia,30031,54,0,14,25,2.3,3.1,2021-03-20 00:00:00,5,Not Hispanic or Latino,None,2021,F,25,
Personal Weapons,t,None (no bias),Victim Was Stranger,Highway/Road/Alley/Street/Sidewalk,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,26,26 Years Old,Robberies in Progress or Pursuing Robbery Suspects,I,SPOKANE,Spokane,Washington,167512,107,7,6,13,0.7,0.8,2021-05-03 00:00:00,4,Not Hispanic or Latino,None,2021,F,26,
