variable,national_pre,national_post,percent_change,percent_change_reliable
total_incidents,1481146.0,1905532.0,0.2865254336844578,True
white_victims,874308.0,1118158.0,0.2789062893168083,True
black_victims,524187.0,659457.5,0.2580577160440835,True
nat_amer_victims,25203.0,27694.5,0.0988572788953696,True
asian_victims,17227.0,32713.5,0.8989667382597086,True
hispanic_victims,199248.0,339514.0,0.7039769533445756,True
other_race_victims,40221.0,67508.5,0.6784391238407796,True
victims_age_18_29,593308.0,710854.0,0.1981196949982134,True
victims_age_30_39,423529.0,551483.0,0.302113904832963,True
victims_age_40_49,245155.0,333542.0,0.3605351716261141,True
victims_age_50_59,136172.0,179365.0,0.3171944305730987,True
victims_age_60_69,57962.0,89010.0,0.535661295331424,True
victims_age_70_79,18221.0,30134.0,0.6538060479666319,True
victims_age_80_plus,6799.0,11144.0,0.6390645683188704,True
involving_firearm,120472.0,127390.0,0.05742413174845607,True
sex_assaults,1458.7843137254902,1301.8333333333333,-0.10759025780262914,True
victim_offender_nonmarried_partner,371708.0,429544.5,0.15559659732908626,True
victim_offender_rel_spouse,129475.0,167203.0,0.2913921606487739,True
dv_total,667853.0,832811.0,0.2469974680056839,True
firearm_nonmarried,12640.0,12036.0,-0.047784810126582276,True
near_school,235.2549019607843,532.5686274509804,1.2637939656609438,True
on_tribal_lands,19.941176470588236,20.647058823529413,0.03539823008849563,True
fem_pop,2581376.8000000003,2646620.545098039,0.0252747855710327,True
white_pop,0.6558605370980393,0.6436627952941177,-0.018598072477256217,False
black_pop,0.10536012207843139,0.10458250455882351,-0.00738056775436356,False
nat_amer_pop,0.012493794333333334,0.0121013608627451,-0.031410271380986746,False
asian_pop,0.043528645431372553,0.04539046838235294,0.04277236133882782,False
hispanic_pop,0.12609246398039217,0.13470025571568628,0.06826571123737141,False
other_race_pop,0.057136994039215676,0.05955390144117647,0.04230021971932864,False
diversity_index,0.48653198519607854,0.5010296660490197,0.02979800155810593,False
%_fem_age_18-29,0.2019924384117647,0.20019680625490197,-0.008889600873089678,False
%_fem_age_30-39,0.17431217964705883,0.17388636463725488,-0.0024428299311392613,False
%_fem_age_40-49,0.1557617182352941,0.15855435039215687,0.017928873592959495,False
fem_age_50-59,0.15955476998039217,0.14997800939215686,-0.06002177552831675,False
fem_age_60-69,0.15981956413725487,0.15801716734313723,-0.011277698095645695,False
fem_age_70-79,0.10053974666666667,0.10802456770588235,0.07444638849181859,False
fem_age_80+,0.04801958272549019,0.05134273433333335,0.0692040917314997,False
age_coef_variation,0.47595989366666663,0.4732114579411764,-0.0057745111763871735,False
fem_poverty_rate,0.13762745098039217,0.13226470588235295,-0.03896566462459041,False
male_poverty_rate,0.11433333333333333,0.10895098039215685,-0.04707597324644149,False
poverty_gender_disparity_score,1.2063091505294117,1.2174280701666667,0.00921730522592424,False
fem_labor_force_part,0.5897244481764705,0.600048305980392,0.017506240136125742,False
all_labor_force_part,0.6325570994901961,0.640670112882353,0.012825740788769073,False
labor_force_ratio,0.9322484005490196,0.9364499321078434,0.004506879879171143,False
unemployment_rate,0.05684313725490196,0.041009803921568624,-0.2785443256295275,False
mhhi,69243.76470588235,79835.43137254902,0.15296202786858143,True
%_at_least_bach_degree,0.3467189495294118,0.3603388663529412,0.03928229720935417,False
%_at_least_high_school,0.9081997750588234,0.9128606097058825,0.005131948691307638,False
avg_years_schooling,13.655067904509801,13.728628043235291,0.005387021085497193,True
gun_deaths_per_100k,15.132,15.54,0.026962727993655795,True
white_adj_rate,1297.664427093059,1485.5016924872552,0.1447502616797293,True
black_adj_rate,4197.633476290725,4670.470096555882,0.11264361763261498,True
nat_amer_adj_rate,2997.6214078607845,3505.2745745352936,0.16935199533312295,True
asian_adj_rate,453.1349846521373,521.9245733303921,0.15180816094140967,True
hispanic_adj_rate,1029.0773010280002,1304.1725291169705,0.2673222194427601,True
