state,variable,pre_2022,post_2022_avg,absolute_change,percent_change,percent_change_reliable,direction
Alaska,hispanic_victims,23.0,28.5,5.5,0.2391304347826087,True,increase
Alaska,other_race_victims,76.0,63.5,-12.5,-0.16447368421052633,True,decrease
Alaska,victims_age_18_29,1212.0,1383.5,171.5,0.1415016501650165,True,increase
Alaska,victims_age_30_39,1078.0,1157.5,79.5,0.07374768089053803,True,increase
Alaska,victims_age_40_49,614.0,691.0,77.0,0.1254071661237785,True,increase
Alaska,victims_age_50_59,347.0,358.5,11.5,0.03314121037463977,True,increase
Alaska,victims_age_60_69,135.0,200.5,65.5,0.48518518518518516,True,increase
Alaska,victims_age_70_79,49.0,44.5,-4.5,-0.09183673469387756,True,decrease
Alaska,victims_age_80_plus,8.0,14.0,6.0,0.75,False,increase
Alaska,involving_firearm,169.0,194.0,25.0,0.14792899408284024,True,increase
Alaska,sex_assaults,338.0,251.0,-87.0,-0.257396449704142,True,decrease
Alaska,victim_offender_nonmarried_partner,1086.0,1282.0,196.0,0.18047882136279927,True,increase
Alaska,victim_offender_rel_spouse,341.0,354.5,13.5,0.039589442815249266,True,increase
Alaska,dv_total,1957.0,2217.0,260.0,0.13285641287685232,True,increase
Alaska,firearm_nonmarried,31.0,44.0,13.0,0.41935483870967744,True,increase
Alaska,near_school,14.0,26.0,12.0,0.8571428571428571,True,increase
Alaska,on_tribal_lands,2.0,0.0,-2.0,-1.0,False,decrease
Alaska,fem_pop,263199.8,266302.7,3102.9000000000233,0.011789142696917032,True,increase
Alaska,white_pop,0.578900819,0.5733224834999999,-0.005578335500000087,-0.009636081547848159,False,decrease
Alaska,black_pop,0.028778186,0.025850068,-0.0029281180000000004,-0.10174783080490203,False,decrease
Alaska,nat_amer_pop,0.134611211,0.1323963185,-0.0022148925000000097,-0.016453997282588964,False,decrease
Alaska,asian_pop,0.063617739,0.058853323,-0.004764416000000007,-0.0748913129402478,False,decrease
Alaska,hispanic_pop,0.071370175,0.076062134,0.004691959000000009,0.06574117269573754,False,increase
Alaska,other_race_pop,0.122721869,0.13351567250000002,0.010793803500000018,0.08795338262001223,False,increase
Alaska,diversity_index,0.621723903,0.6260065939999999,0.004282690999999894,0.006888412974528814,False,increase
Alaska,%_fem_age_18-29,0.218806639,0.2171695505,-0.0016370884999999946,-0.007481895921814304,False,decrease
Alaska,%_fem_age_30-39,0.203815498,0.206648031,0.002832532999999998,0.01389753491660383,False,increase
Alaska,%_fem_age_40-49,0.159917947,0.166056595,0.0061386479999999966,0.03838623566121691,False,increase
Alaska,fem_age_50-59,0.154560343,0.137699156,-0.016861187,-0.10909128870139737,False,decrease
Alaska,fem_age_60-69,0.158451674,0.1501316855,-0.008319988499999986,-0.052508050498728004,False,decrease
Alaska,fem_age_70-79,0.077781314,0.09175596,0.013974645999999993,0.1796658513637349,False,increase
Alaska,fem_age_80+,0.026666585,0.030539023,0.003872437999999999,0.1452168697266635,False,increase
Alaska,age_coef_variation,0.342840499,0.33255370650000005,-0.010286792499999975,-0.030004601352537335,False,decrease
Alaska,fem_poverty_rate,0.107,0.107,0.0,0.0,False,decrease
Alaska,male_poverty_rate,0.103,0.099,-0.00399999999999999,-0.03883495145631058,False,decrease
Alaska,poverty_gender_disparity_score,1.038834951,1.081495098,0.04266014700000009,0.04106537516757087,False,increase
Alaska,fem_labor_force_part,0.619996837,0.6231553425,0.003158505500000075,0.005094389699281765,False,increase
Alaska,all_labor_force_part,0.659223338,0.6673189915,0.008095653499999966,0.012280592984710088,False,increase
Alaska,labor_force_ratio,0.940495885,0.933815681,-0.006680204000000023,-0.007102852980584835,False,decrease
Alaska,unemployment_rate,0.07,0.054,-0.016000000000000007,-0.22857142857142865,False,decrease
Alaska,mhhi,77845.0,91148.0,13303.0,0.17089087288843213,True,increase
Alaska,%_at_least_bach_degree,0.327906311,0.32494891049999997,-0.0029574005000000403,-0.009019041112630615,False,decrease
Alaska,%_at_least_high_school,0.933117735,0.9331562984999999,3.8563499999977324e-05,4.132758231197623e-05,False,increase
Alaska,avg_years_schooling,13.69826608,13.707360075,0.009093995000000632,0.0006638792783619686,True,increase
Alaska,gun_deaths_per_100k,23.5,23.1,-0.3999999999999986,-0.01702127659574462,True,decrease
Alaska,white_adj_rate,790.1995318,846.2512111000001,56.051679300000046,0.07093357695659425,True,increase
Alaska,black_adj_rate,528.0937422,1019.25054385,491.15680165000003,0.9300560911853958,True,increase
Alaska,nat_amer_adj_rate,5910.304972,6724.1285339999995,813.8235619999996,0.13769569689812608,True,increase
Alaska,asian_adj_rate,173.1945465,322.45013465,149.25558815,0.8617799530425745,True,increase
Alaska,hispanic_adj_rate,122.4406198,140.6998651,18.259245300000018,0.14912735111783565,True,increase
Arizona,total_incidents,19868.0,32355.5,12487.5,0.6285232534729213,True,increase
