var1,var2,correlation,abs_correlation,strength,direction,likely_structural,scale_effect,redundant_feature_pair
victims_age_60_69,%_at_least_high_school,-0.5213819090585917,0.5213819090585917,moderate,negative,False,False,False
white_adj_rate,black_adj_rate,0.5209691698113852,0.5209691698113852,moderate,positive,False,False,False
all_labor_force_part,%_at_least_high_school,0.5195118746624179,0.5195118746624179,moderate,positive,False,False,False
fem_labor_force_part,gun_deaths_per_100k,-0.517888196849313,0.517888196849313,moderate,negative,False,False,False
victims_age_50_59,%_at_least_high_school,-0.5174141601855631,0.5174141601855631,moderate,negative,False,False,False
white_pop,unemployment_rate,-0.516196577927457,0.516196577927457,moderate,negative,True,False,False
asian_pop,diversity_index,0.5116755092999858,0.5116755092999858,moderate,positive,False,False,False
diversity_index,fem_age_60-69,-0.510130216821865,0.510130216821865,moderate,negative,False,False,False
asian_adj_rate,hispanic_adj_rate,0.5080762895906478,0.5080762895906478,moderate,positive,False,False,False
victims_age_40_49,%_at_least_high_school,-0.5075295916758644,0.5075295916758644,moderate,negative,False,False,False
labor_force_ratio,avg_years_schooling,0.5055526538924734,0.5055526538924734,moderate,positive,False,False,False
victim_offender_nonmarried_partner,%_at_least_high_school,-0.5032307227127801,0.5032307227127801,moderate,negative,False,False,False
dv_total,%_at_least_high_school,-0.5023256373832676,0.5023256373832676,moderate,negative,False,False,False
total_incidents,%_at_least_high_school,-0.5003372566591592,0.5003372566591592,moderate,negative,False,False,False
male_poverty_rate,avg_years_schooling,-0.5003121213100181,0.5003121213100181,moderate,negative,False,False,False
%_fem_age_30-39,fem_labor_force_part,0.5002571566091651,0.5002571566091651,moderate,positive,False,False,False
fem_age_50-59,fem_age_60-69,0.49970126497469275,0.49970126497469275,moderate,positive,False,False,False
asian_victims,hispanic_pop,0.4990766708450592,0.4990766708450592,moderate,positive,False,True,False
victims_age_30_39,%_at_least_high_school,-0.498050253138898,0.498050253138898,moderate,negative,False,False,False
all_labor_force_part,gun_deaths_per_100k,-0.49739528284402745,0.49739528284402745,moderate,negative,False,False,False
white_pop,fem_age_60-69,0.49572922293379973,0.49572922293379973,moderate,positive,False,False,False
victim_offender_rel_spouse,%_at_least_high_school,-0.49439300907043315,0.49439300907043315,moderate,negative,False,False,False
%_fem_age_40-49,labor_force_ratio,-0.49431820499669743,0.49431820499669743,moderate,negative,False,False,False
white_victims,%_at_least_high_school,-0.4926620307215528,0.4926620307215528,moderate,negative,False,False,False
%_fem_age_30-39,%_at_least_bach_degree,0.4920179004114123,0.4920179004114123,moderate,positive,False,False,False
fem_poverty_rate,%_at_least_bach_degree,-0.4916343072872637,0.4916343072872637,moderate,negative,False,False,False
fem_age_50-59,nat_amer_adj_rate,-0.48944994204114767,0.48944994204114767,moderate,negative,False,False,False
black_pop,diversity_index,0.4886711013263606,0.4886711013263606,moderate,positive,False,False,False
firearm_nonmarried,fem_pop,0.4878272209493711,0.4878272209493711,moderate,positive,False,True,False
victims_age_18_29,%_at_least_high_school,-0.48729673486361186,0.48729673486361186,moderate,negative,False,False,False
all_labor_force_part,nat_amer_adj_rate,0.4843258081907094,0.4843258081907094,moderate,positive,False,False,False
victims_age_80_plus,%_at_least_high_school,-0.48392057571407876,0.48392057571407876,moderate,negative,False,False,False
asian_pop,mhhi,0.48161474966483014,0.48161474966483014,moderate,positive,False,False,False
asian_pop,gun_deaths_per_100k,-0.48009774780433684,0.48009774780433684,moderate,negative,False,False,False
white_victims,hispanic_pop,0.47827377824427936,0.47827377824427936,moderate,positive,False,True,False
%_fem_age_18-29,all_labor_force_part,0.4750714915832588,0.4750714915832588,moderate,positive,False,False,False
hispanic_victims,%_at_least_high_school,-0.4703017691133361,0.4703017691133361,moderate,negative,False,False,False
black_pop,fem_poverty_rate,0.46301336876624,0.46301336876624,moderate,positive,True,False,False
black_victims,black_pop,0.45844392580891197,0.45844392580891197,moderate,positive,False,True,False
victims_age_80_plus,hispanic_pop,0.4569782492109298,0.4569782492109298,moderate,positive,False,True,False
%_fem_age_18-29,%_fem_age_40-49,0.4545465646416347,0.4545465646416347,moderate,positive,False,False,False
black_victims,asian_victims,0.4544642722694331,0.4544642722694331,moderate,positive,False,False,False
nat_amer_victims,nat_amer_adj_rate,0.4541393870228506,0.4541393870228506,moderate,positive,False,False,False
fem_labor_force_part,nat_amer_adj_rate,0.4533486395382475,0.4533486395382475,moderate,positive,False,False,False
asian_victims,%_at_least_high_school,-0.45234950076976915,0.45234950076976915,moderate,negative,False,False,False
black_pop,male_poverty_rate,0.4517759066504915,0.4517759066504915,moderate,positive,True,False,False
nat_amer_pop,nat_amer_adj_rate,0.44995859041523534,0.44995859041523534,moderate,positive,True,False,False
%_fem_age_18-29,asian_adj_rate,0.4496895672577845,0.4496895672577845,moderate,positive,False,False,False
victims_age_70_79,hispanic_pop,0.4495284087479608,0.4495284087479608,moderate,positive,False,True,False
male_poverty_rate,%_at_least_bach_degree,-0.44682535005331797,0.44682535005331797,moderate,negative,False,False,False
%_fem_age_30-39,mhhi,0.4446401816801314,0.4446401816801314,moderate,positive,False,False,False
diversity_index,%_fem_age_30-39,0.44433594390334186,0.44433594390334186,moderate,positive,False,False,False
%_at_least_high_school,nat_amer_adj_rate,0.4400697457743765,0.4400697457743765,moderate,positive,False,False,False
white_pop,%_fem_age_30-39,-0.43716629706999904,0.43716629706999904,moderate,negative,False,False,False
asian_victims,involving_firearm,0.4364450013902318,0.4364450013902318,moderate,positive,False,False,False
victim_offender_rel_spouse,hispanic_pop,0.43634506027402503,0.43634506027402503,moderate,positive,False,True,False
fem_pop,diversity_index,0.43610376004498763,0.43610376004498763,moderate,positive,False,False,False
asian_victims,white_pop,-0.4309102167552943,0.4309102167552943,moderate,negative,False,True,False
sex_assaults,%_at_least_high_school,-0.4297345645542536,0.4297345645542536,moderate,negative,False,False,False
sex_assaults,labor_force_ratio,-0.42887862456621006,0.42887862456621006,moderate,negative,False,False,False
sex_assaults,hispanic_pop,0.4284376484285393,0.4284376484285393,moderate,positive,False,True,False
