state_name,n_incidents,firearm_rate,ipv_proxy_rate,injury_rate,mean_age,pct_age_missing
Texas,905,0.041988950276243095,0.0011049723756906078,0.5580110497237569,32.193370165745854,0.0
California,805,0.013664596273291925,0.004968944099378882,0.4472049689440994,33.50186335403727,0.0
North Carolina,498,0.018072289156626505,0.008032128514056224,0.3714859437751004,36.20783132530121,0.0
Virginia,458,0.03056768558951965,0.0,0.3624454148471616,30.806768558951966,0.0
Colorado,329,0.05167173252279635,0.0,0.60790273556231,32.276595744680854,0.0
Missouri,319,0.06583072100313479,0.0,0.335423197492163,32.91065830721003,0.0
Florida,316,0.03164556962025317,0.0,0.3670886075949367,31.509493670886076,0.0
Michigan,285,0.07719298245614035,0.0,0.4245614035087719,30.582456140350878,0.0
Nevada,281,0.046263345195729534,0.0,0.2526690391459075,31.40747330960854,0.0
Maryland,278,0.017985611510791366,0.02158273381294964,0.38848920863309355,33.42625899280576,0.0
Indiana,263,0.015209125475285171,0.053231939163498096,0.3574144486692015,33.041825095057035,0.0
Tennessee,262,0.16793893129770993,0.0,0.2366412213740458,31.36832061068702,0.0
Wisconsin,257,0.023346303501945526,0.0,0.4591439688715953,31.801556420233464,0.0
Washington,239,0.016736401673640166,0.0,0.49372384937238495,35.52719665271967,0.0
New Mexico,225,0.008888888888888889,0.0,0.30666666666666664,32.68222222222222,0.0
Louisiana,223,0.013452914798206279,0.09417040358744394,0.32286995515695066,35.2017937219731,0.0
Massachusetts,222,0.009009009009009009,0.0,0.2972972972972973,32.567567567567565,0.0
Kentucky,199,0.04020100502512563,0.3065326633165829,0.6180904522613065,33.972361809045225,0.0
Georgia,177,0.11864406779661017,0.0,0.4124293785310734,33.0819209039548,0.0
District of Columbia,173,0.011560693641618497,0.0,0.4913294797687861,35.79479768786127,0.0
Illinois,166,0.018072289156626505,0.0,0.35542168674698793,32.63855421686747,0.0
Minnesota,164,0.018292682926829267,0.012195121951219513,0.6036585365853658,30.990853658536587,0.0
Arizona,152,0.02631578947368421,0.0,0.4276315789473684,32.18092105263158,0.0
Oklahoma,151,0.059602649006622516,0.0,0.37748344370860926,33.20860927152318,0.0
South Carolina,151,0.039735099337748346,0.026490066225165563,0.47019867549668876,33.480132450331126,0.0
Iowa,135,0.014814814814814815,0.0,0.5185185185185185,32.71851851851852,0.0
Ohio,119,0.04201680672268908,0.0,0.3949579831932773,32.70168067226891,0.0
Arkansas,102,0.12745098039215685,0.00980392156862745,0.5784313725490197,32.27450980392157,0.0
Oregon,98,0.01020408163265306,0.0,0.4387755102040816,32.08163265306123,0.0
Connecticut,89,0.011235955056179775,0.0,0.6404494382022472,34.03370786516854,0.0
New Jersey,82,0.0,0.0,0.5,32.00609756097561,0.0
Mississippi,79,0.13924050632911392,0.26582278481012656,0.620253164556962,35.20253164556962,0.0
Pennsylvania,79,0.05063291139240506,0.0379746835443038,0.5569620253164557,37.234177215189874,0.0
Delaware,75,0.013333333333333334,0.0,0.41333333333333333,29.30666666666667,0.0
Utah,68,0.0,0.0,0.4264705882352941,32.77205882352941,0.0
New York,65,0.015384615384615385,0.0,0.4153846153846154,39.12307692307692,0.0
South Dakota,62,0.016129032258064516,0.0,0.5161290322580645,34.54838709677419,0.0
Montana,60,0.016666666666666666,0.0,0.3,31.925,0.0
Idaho,58,0.017241379310344827,0.0,0.25862068965517243,30.46551724137931,0.0
North Dakota,53,0.0,0.0,0.5660377358490566,30.9811320754717,0.0
Alabama,51,0.0196078431372549,0.0,0.5294117647058824,30.11764705882353,0.0
Nebraska,45,0.0,0.0,0.5555555555555556,30.355555555555554,0.0
Hawaii,40,0.0,0.05,0.3,37.8,0.0
New Hampshire,24,0.0,0.0,0.20833333333333334,28.166666666666668,0.0
Vermont,22,0.0,0.0,0.5,36.27272727272727,0.0
Alaska,18,0.2222222222222222,0.0,0.16666666666666666,32.27777777777778,0.0
Rhode Island,18,0.0,0.0,0.5,29.97222222222222,0.0
Maine,15,0.0,0.0,0.4666666666666667,36.2,0.0
Wyoming,13,0.07692307692307693,0.0,0.46153846153846156,41.88461538461539,0.0
