weapon_name,shr_flag,bias_desc,relationship_name,location_name,offense_name,crime_against,ct_flag,hc_flag,hc_code,offense_category_name,offense_group,race_desc,sort_order,age_code,age_name,activity_type_name,reporting_type,ucr_agency_name,pub_agency_name,state_name,population,male_officer,male_civilian,female_officer,female_civilian,officer_rate,employee_rate,incident_date,incident_hour,ethnicity_name,injury_name,data_year,victim_type_id,sex_code,age_range_low_num,age_range_high_num
Personal Weapons,t,None (no bias),Relationship Unknown,Parking/Drop Lot/Garage,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,35,35 Years Old,"Handling, Transporting, Custody of Prisoners",I,NATCHITOCHES,Natchitoches,Louisiana,16945,31,6,13,12,2.6,3.7,2024-05-23 00:00:00,23,Not Hispanic or Latino,None,2024,5,F,30,40
Personal Weapons,t,None (no bias),Relationship Unknown,Parking/Drop Lot/Garage,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,24,24 Years Old,"Handling, Transporting, Custody of Prisoners",I,NATCHITOCHES,Natchitoches,Louisiana,16945,31,6,13,12,2.6,3.7,2024-05-23 00:00:00,23,Not Hispanic or Latino,Minor Injury,2024,5,F,24,
None,f,None (no bias),Relationship Unknown,Church/Synagogue/Temple/Mosque,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,28,28 Years Old,All Other,I,GARDEN GROVE,Garden Grove,California,167041,162,8,18,59,1.1,1.5,2024-08-14 00:00:00,20,Not Specified,None,2024,5,F,28,
Personal Weapons,t,None (no bias),Victim was Otherwise Known,Highway/Road/Alley/Street/Sidewalk,Simple Assault,Person,f,t,09,Assault Offenses,A    ,Black or African American,20,39,39 Years Old,All Other,I,BALTIMORE,Baltimore,Maryland,566632,1664,139,322,388,3.5,4.4,2024-02-07 00:00:00,10,Not Hispanic or Latino,None,2024,5,F,30,49
Unknown,f,None (no bias),Relationship Unknown,Parking/Drop Lot/Garage,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,23,23 Years Old,Investigating Suspicious Persons or Circumstances,I,MARTINEZ,Martinez,California,36132,22,3,7,12,0.8,1.2,2024-09-21 00:00:00,9,Hispanic or Latino,None,2024,5,F,23,
None,f,None (no bias),Relationship Unknown,Highway/Road/Alley/Street/Sidewalk,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,39,39 Years Old,Attempting Other Arrests,I,COSTA MESA,Costa Mesa,California,107235,106,29,18,60,1.2,2.0,2024-07-03 00:00:00,11,Not Hispanic or Latino,None,2024,5,F,39,
Personal Weapons,t,None (no bias),Victim was Otherwise Known,Jail/Prison/Penitentiary/Corrections Facility,Simple Assault,Person,f,t,09,Assault Offenses,A    ,Black or African American,20,24,24 Years Old,"Handling, Transporting, Custody of Prisoners",I,COBB,Cobb,Georgia,0,401,62,120,183,0,0,2024-09-03 00:00:00,19,Not Hispanic or Latino,Minor Injury,2024,5,F,24,
None,f,None (no bias),Victim was Otherwise Known,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,46,46 Years Old,Attempting Other Arrests,I,SCOTT,Scott,Virginia,18298,31,5,3,4,1.9,2.3,2024-05-05 00:00:00,4,Not Hispanic or Latino,None,2024,5,F,46,
Personal Weapons,t,None (no bias),Victim Was Stranger,Commercial/Office Building,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,32,32 Years Old,Investigating Suspicious Persons or Circumstances,I,VINELAND,Vineland,New Jersey,60848,131,4,17,22,2.4,2.9,2024-09-04 00:00:00,16,Hispanic or Latino,Minor Injury,2024,5,F,32,
Motor Vehicle/Vessel,f,None (no bias),Victim Was Stranger,Highway/Road/Alley/Street/Sidewalk,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,32,32 Years Old,Traffic Pursuits and Stops,I,SARASOTA,Sarasota,Florida,302725,404,268,73,300,1.6,3.5,2024-04-23 00:00:00,0,Unknown,Other Major Injury,2024,5,F,32,
Other,t,None (no bias),Victim Was Stranger,Grocery/Supermarket,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,33,33 Years Old,Attempting Other Arrests,I,CHESTERFIELD COUNTY PD,Chesterfield County Police Department,Virginia,393296,452,47,66,110,1.3,1.7,2024-10-10 00:00:00,7,Not Specified,Minor Injury,2024,5,F,33,
Blunt Object,t,None (no bias),Victim Was Stranger,Highway/Road/Alley/Street/Sidewalk,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,43,43 Years Old,Investigating Suspicious Persons or Circumstances,I,BAKERSFIELD,Bakersfield,California,416120,404,31,60,178,1.1,1.6,2024-11-22 00:00:00,9,Not Hispanic or Latino,None,2024,5,F,43,
Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,40,40 Years Old,"Handling, Transporting, Custody of Prisoners",I,ST. JOSEPH,St. Joseph,Indiana,111095,94,97,9,56,0.9,2.3,2024-10-27 00:00:00,13,Not Hispanic or Latino,Minor Injury,2024,5,F,40,
Firearm,t,None (no bias),Victim Was Stranger,Highway/Road/Alley/Street/Sidewalk,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,Black or African American,20,21,21 Years Old,All Other,I,MEMPHIS,Memphis,Tennessee,613207,1560,115,435,297,3.3,3.9,2024-03-28 00:00:00,17,Not Hispanic or Latino,None,2024,5,F,21,
Personal Weapons,t,None (no bias),Victim Was Stranger,Government/Public Building,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,34,34 Years Old,"Handling, Transporting, Custody of Prisoners",I,LEBANON,Lebanon,Virginia,3097,9,0,2,1,3.6,3.9,2024-10-18 00:00:00,22,Not Hispanic or Latino,Minor Injury,2024,5,F,34,
