relationship_name,count,pct
Victim Was Stranger,4266,59.02
Relationship Unknown,1380,19.09
Victim was Otherwise Known,1134,15.69
Victim Was Acquaintance,222,3.07
Victim Was Boyfriend/Girlfriend,70,0.97
MISSING,37,0.51
Victim Was Spouse,35,0.48
Victim was Employee,31,0.43
Victim Was Parent,10,0.14
Victim Was Other Family Member,7,0.1
Victim Was Neighbor,6,0.08
Victim Was Sibling,6,0.08
Victim Was Friend,5,0.07
Victim Was In-law,4,0.06
Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend),4,0.06
Victim Was Offender,3,0.04
Victim Was Stepsibling,2,0.03
Victim Was Child,2,0.03
Victim was Employer,1,0.01
Victim was Ex-Spouse,1,0.01
Victim Was Grandchild,1,0.01
Victim Was Stepchild,1,0.01
