weapon_name,count,pct
Personal Weapons,4916,68.01
MISSING,663,9.17
Other,663,9.17
Motor Vehicle/Vessel,260,3.6
Unknown,159,2.2
Knife/Cutting Instrument,157,2.17
Blunt Object,145,2.01
Handgun,139,1.92
Firearm,46,0.64
Rifle,33,0.46
Asphyxiation,17,0.24
Shotgun,9,0.12
Drugs/Narcotics/Sleeping Pills,6,0.08
Other Firearm,6,0.08
Fire/Incendiary Device,4,0.06
Handgun (Automatic),3,0.04
Poison,2,0.03
