offense_name,count,pct
Simple Assault,5151,71.26
Aggravated Assault,1866,25.82
Intimidation,174,2.41
Kidnapping/Abduction,23,0.32
Murder and Nonnegligent Manslaughter,9,0.12
Fondling,5,0.07
