state_name,n_incidents,firearm_rate,ipv_proxy_rate,injury_rate,mean_age,pct_age_missing
Texas,913,0.03723986856516977,0.008762322015334063,0.5147864184008762,32.039430449069,0.0
North Carolina,476,0.046218487394957986,0.0021008403361344537,0.31932773109243695,31.625,0.0
Virginia,386,0.007772020725388601,0.0025906735751295338,0.31865284974093266,29.132124352331605,0.0
Tennessee,317,0.10410094637223975,0.0,0.2996845425867508,29.269716088328074,0.0
Missouri,295,0.01694915254237288,0.003389830508474576,0.31864406779661014,31.627118644067796,0.0
Colorado,295,0.09830508474576272,0.0,0.5559322033898305,32.094915254237286,0.0
Louisiana,274,0.014598540145985401,0.06569343065693431,0.24087591240875914,34.846715328467155,0.0
Nevada,271,0.025830258302583026,0.0036900369003690036,0.24354243542435425,30.846863468634687,0.0
Kentucky,225,0.02666666666666667,0.28444444444444444,0.6488888888888888,35.666666666666664,0.0
Michigan,225,0.057777777777777775,0.0,0.4,29.835555555555555,0.0
Georgia,222,0.06756756756756757,0.0,0.3918918918918919,32.932432432432435,0.0
Massachusetts,221,0.00904977375565611,0.0,0.31221719457013575,32.6764705882353,0.0
Wisconsin,213,0.06103286384976526,0.004694835680751174,0.4835680751173709,31.624413145539908,0.0
Washington,210,0.01904761904761905,0.0,0.38095238095238093,34.90238095238095,0.0
Indiana,204,0.024509803921568627,0.04411764705882353,0.38235294117647056,31.220588235294116,0.0
Maryland,186,0.026881720430107527,0.005376344086021506,0.3548387096774194,34.38172043010753,0.0
Minnesota,172,0.01744186046511628,0.0,0.4941860465116279,30.74418604651163,0.0
South Carolina,165,0.04242424242424243,0.006060606060606061,0.509090909090909,30.29090909090909,0.0
Arizona,143,0.006993006993006993,0.0,0.5314685314685315,32.61888111888112,0.0
New Mexico,139,0.014388489208633094,0.0,0.3237410071942446,32.91726618705036,0.0
Oregon,120,0.008333333333333333,0.0,0.5583333333333333,33.579166666666666,0.0
Illinois,115,0.008695652173913044,0.0,0.40869565217391307,33.0,0.0
Oklahoma,107,0.009345794392523364,0.0,0.4766355140186916,33.02336448598131,0.0
Arkansas,103,0.019417475728155338,0.0,0.46601941747572817,32.03398058252427,0.0
California,99,0.0,0.0,0.5858585858585859,31.065656565656564,0.0
District of Columbia,93,0.043010752688172046,0.0,0.40860215053763443,33.494623655913976,0.0
Pennsylvania,93,0.021505376344086023,0.0,0.5161290322580645,37.456989247311824,0.0
Ohio,89,0.056179775280898875,0.0,0.47191011235955055,33.28089887640449,0.0
Connecticut,84,0.0,0.0,0.6071428571428571,36.92857142857143,0.0
Delaware,78,0.01282051282051282,0.0,0.24358974358974358,31.108974358974358,0.0
Iowa,76,0.0,0.0,0.4473684210526316,32.55921052631579,0.0
Montana,76,0.013157894736842105,0.0,0.35526315789473684,32.86842105263158,0.0
North Dakota,56,0.0,0.0,0.625,30.053571428571427,0.0
South Dakota,55,0.0,0.0,0.34545454545454546,31.318181818181817,0.0
Nebraska,53,0.018867924528301886,0.0,0.6226415094339622,29.952830188679247,0.0
Mississippi,47,0.02127659574468085,0.0851063829787234,0.5319148936170213,33.702127659574465,0.0
Idaho,45,0.022222222222222223,0.0,0.2222222222222222,29.522222222222222,0.0
New Hampshire,42,0.0,0.0,0.2619047619047619,31.047619047619047,0.0
Utah,41,0.0,0.0,0.3170731707317073,35.951219512195124,0.0
Maine,34,0.0,0.0,0.5,30.735294117647058,0.0
Hawaii,32,0.0,0.0,0.25,34.40625,0.0
New Jersey,32,0.0,0.0,0.6875,32.96875,0.0
New York,22,0.0,0.0,0.5909090909090909,37.45454545454545,0.0
Alaska,21,0.0,0.0,0.19047619047619047,32.642857142857146,0.0
Vermont,21,0.0,0.0,0.8095238095238095,36.523809523809526,0.0
Alabama,18,0.0,0.0,0.5,30.5,0.0
Rhode Island,12,0.08333333333333333,0.0,0.3333333333333333,37.125,0.0
Wyoming,10,0.1,0.0,0.2,29.9,0.0
Florida,2,0.0,0.0,0.0,39.0,0.0
